Label,Value
Estimate!!SEX AND AGE!!Total population,584057
Percent!!SEX AND AGE!!Total population,584057
Estimate!!SEX AND AGE!!Total population!!Male,295735
Percent!!SEX AND AGE!!Total population!!Male,50.6
Estimate!!SEX AND AGE!!Total population!!Female,288322
Percent!!SEX AND AGE!!Total population!!Female,49.4
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),102.6
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,30651
Percent!!SEX AND AGE!!Total population!!Under 5 years,5.2
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,36438
Percent!!SEX AND AGE!!Total population!!5 to 9 years,6.2
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,38128
Percent!!SEX AND AGE!!Total population!!10 to 14 years,6.5
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,40417
Percent!!SEX AND AGE!!Total population!!15 to 19 years,6.9
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,34570
Percent!!SEX AND AGE!!Total population!!20 to 24 years,5.9
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,76458
Percent!!SEX AND AGE!!Total population!!25 to 34 years,13.1
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,82098
Percent!!SEX AND AGE!!Total population!!35 to 44 years,14.1
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,61052
Percent!!SEX AND AGE!!Total population!!45 to 54 years,10.5
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,31373
Percent!!SEX AND AGE!!Total population!!55 to 59 years,5.4
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,40775
Percent!!SEX AND AGE!!Total population!!60 to 64 years,7.0
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,70262
Percent!!SEX AND AGE!!Total population!!65 to 74 years,12.0
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,30198
Percent!!SEX AND AGE!!Total population!!75 to 84 years,5.2
Estimate!!SEX AND AGE!!Total population!!85 years and over,11637
Percent!!SEX AND AGE!!Total population!!85 years and over,2.0
Estimate!!SEX AND AGE!!Total population!!Median age (years),39.3
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,129965
Percent!!SEX AND AGE!!Total population!!Under 18 years,22.3
Estimate!!SEX AND AGE!!Total population!!16 years and over,469355
Percent!!SEX AND AGE!!Total population!!16 years and over,80.4
Estimate!!SEX AND AGE!!Total population!!18 years and over,454092
Percent!!SEX AND AGE!!Total population!!18 years and over,77.7
Estimate!!SEX AND AGE!!Total population!!21 years and over,431053
Percent!!SEX AND AGE!!Total population!!21 years and over,73.8
Estimate!!SEX AND AGE!!Total population!!62 years and over,138427
Percent!!SEX AND AGE!!Total population!!62 years and over,23.7
Estimate!!SEX AND AGE!!Total population!!65 years and over,112097
Percent!!SEX AND AGE!!Total population!!65 years and over,19.2
Estimate!!SEX AND AGE!!Total population!!18 years and over,454092
Percent!!SEX AND AGE!!Total population!!18 years and over,454092
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,230130
Percent!!SEX AND AGE!!Total population!!18 years and over!!Male,50.7
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,223962
Percent!!SEX AND AGE!!Total population!!18 years and over!!Female,49.3
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),102.8
Percent!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!65 years and over,112097
Percent!!SEX AND AGE!!Total population!!65 years and over,112097
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,54685
Percent!!SEX AND AGE!!Total population!!65 years and over!!Male,48.8
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,57412
Percent!!SEX AND AGE!!Total population!!65 years and over!!Female,51.2
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),95.3
Percent!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!RACE!!Total population,584057
Percent!!RACE!!Total population,584057
Estimate!!RACE!!Total population!!One race,535388
Percent!!RACE!!Total population!!One race,91.7
Estimate!!RACE!!Total population!!Two or More Races,48669
Percent!!RACE!!Total population!!Two or More Races,8.3
Estimate!!RACE!!Total population!!One race,535388
Percent!!RACE!!Total population!!One race,91.7
Estimate!!RACE!!Total population!!One race!!White,492128
Percent!!RACE!!Total population!!One race!!White,84.3
Estimate!!RACE!!Total population!!One race!!Black or African American,4038
Percent!!RACE!!Total population!!One race!!Black or African American,0.7
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,14337
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native,2.5
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,3022
