Label,Value
Total!!Estimate!!Population 16 years and over,4115279
Total!!Margin of Error!!Population 16 years and over,6194
Total!!Estimate!!AGE!!16 to 19 years,282517
Total!!Margin of Error!!AGE!!16 to 19 years,8328
Total!!Estimate!!AGE!!20 to 24 years,333795
Total!!Margin of Error!!AGE!!20 to 24 years,7179
Total!!Estimate!!AGE!!25 to 29 years,313883
Total!!Margin of Error!!AGE!!25 to 29 years,4854
Total!!Estimate!!AGE!!30 to 34 years,330634
Total!!Margin of Error!!AGE!!30 to 34 years,5075
Total!!Estimate!!AGE!!35 to 44 years,649252
Total!!Margin of Error!!AGE!!35 to 44 years,6465
Total!!Estimate!!AGE!!45 to 54 years,620078
Total!!Margin of Error!!AGE!!45 to 54 years,5497
Total!!Estimate!!AGE!!55 to 59 years,308895
Total!!Margin of Error!!AGE!!55 to 59 years,6719
Total!!Estimate!!AGE!!60 to 64 years,344106
Total!!Margin of Error!!AGE!!60 to 64 years,6905
Total!!Estimate!!AGE!!65 to 74 years,554008
Total!!Margin of Error!!AGE!!65 to 74 years,3070
Total!!Estimate!!AGE!!75 years and over,378111
Total!!Margin of Error!!AGE!!75 years and over,2664
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,2734802
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,7357
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,1027794
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,6801
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,20431
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,3451
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,62819
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,2682
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,77811
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,6372
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,189274
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,8556
Total!!Estimate!!Hispanic or Latino origin (of any race),190101
Total!!Margin of Error!!Hispanic or Latino origin (of any race),2759
"Total!!Estimate!!White alone, not Hispanic or Latino",2690777
"Total!!Margin of Error!!White alone, not Hispanic or Latino",5058
Total!!Estimate!!Population 20 to 64 years,2900643
Total!!Margin of Error!!Population 20 to 64 years,6340
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,1413986
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,4793
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,1486657
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,4128
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,517296
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,10134
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,114242
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,5938
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,109486
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,6610
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,293568
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,8059
