Label,Value
Total!!Estimate!!Population 16 years and over,4818044
Total!!Margin of Error!!Population 16 years and over,4403
Total!!Estimate!!AGE!!16 to 19 years,303575
Total!!Margin of Error!!AGE!!16 to 19 years,5823
Total!!Estimate!!AGE!!20 to 24 years,379346
Total!!Margin of Error!!AGE!!20 to 24 years,4568
Total!!Estimate!!AGE!!25 to 29 years,448664
Total!!Margin of Error!!AGE!!25 to 29 years,5061
Total!!Estimate!!AGE!!30 to 34 years,479339
Total!!Margin of Error!!AGE!!30 to 34 years,3775
Total!!Estimate!!AGE!!35 to 44 years,874611
Total!!Margin of Error!!AGE!!35 to 44 years,4855
Total!!Estimate!!AGE!!45 to 54 years,713472
Total!!Margin of Error!!AGE!!45 to 54 years,4720
Total!!Estimate!!AGE!!55 to 59 years,317170
Total!!Margin of Error!!AGE!!55 to 59 years,7194
Total!!Estimate!!AGE!!60 to 64 years,357325
Total!!Margin of Error!!AGE!!60 to 64 years,7025
Total!!Estimate!!AGE!!65 to 74 years,579146
Total!!Margin of Error!!AGE!!65 to 74 years,2815
Total!!Estimate!!AGE!!75 years and over,365396
Total!!Margin of Error!!AGE!!75 years and over,2363
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,3493556
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,13392
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,184667
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,5898
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,55691
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,5615
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,163584
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,4847
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,290403
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,14547
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,622182
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,14325
Total!!Estimate!!Hispanic or Latino origin (of any race),986715
Total!!Margin of Error!!Hispanic or Latino origin (of any race),2619
"Total!!Estimate!!White alone, not Hispanic or Latino",3251109
"Total!!Margin of Error!!White alone, not Hispanic or Latino",7624
Total!!Estimate!!Population 20 to 64 years,3569927
Total!!Margin of Error!!Population 20 to 64 years,5467
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,1840307
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,4217
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,1729620
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,3363
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,567275
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,9723
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,138033
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,6723
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,95425
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,5266
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,333817
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,7463
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,300294
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,12312
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,3212616
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,13304
Total!!Estimate!!DISABILITY STATUS!!With any disability,343404
Total!!Margin of Error!!DISABILITY STATUS!!With any disability,11604
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,3190581
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,6264
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,219913
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,9286
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),595229
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),13333
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,862799
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,16223
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,1512640
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,20564
Labor Force Participation Rate!!Estimate!!Population 16 years and over,69.0
Labor Force Participation Rate!!Margin of Error!!Population 16 years and over,0.3
Labor Force Participation Rate!!Estimate!!AGE!!16 to 19 years,47.8
Labor Force Participation Rate!!Margin of Error!!AGE!!16 to 19 years,1.8
Labor Force Participation Rate!!Estimate!!AGE!!20 to 24 years,82.0
Labor Force Participation Rate!!Margin of Error!!AGE!!20 to 24 years,1.3
Labor Force Participation Rate!!Estimate!!AGE!!25 to 29 years,88.9
Labor Force Participation Rate!!Margin of Error!!AGE!!25 to 29 years,1.0
Labor Force Participation Rate!!Estimate!!AGE!!30 to 34 years,88.7
Labor Force Participation Rate!!Margin of Error!!AGE!!30 to 34 years,0.8
Labor Force Participation Rate!!Estimate!!AGE!!35 to 44 years,87.4
Labor Force Participation Rate!!Margin of Error!!AGE!!35 to 44 years,0.5
Labor Force Participation Rate!!Estimate!!AGE!!45 to 54 years,85.4
Labor Force Participation Rate!!Margin of Error!!AGE!!45 to 54 years,0.8
Labor Force Participation Rate!!Estimate!!AGE!!55 to 59 years,77.8
Labor Force Participation Rate!!Margin of Error!!AGE!!55 to 59 years,1.3
Labor Force Participation Rate!!Estimate!!AGE!!60 to 64 years,61.9
Labor Force Participation Rate!!Margin of Error!!AGE!!60 to 64 years,1.2
