Label,Value
Total!!Estimate!!Population 16 years and over,846414
Total!!Margin of Error!!Population 16 years and over,1727
Total!!Estimate!!AGE!!16 to 19 years,53584
Total!!Margin of Error!!AGE!!16 to 19 years,2112
Total!!Estimate!!AGE!!20 to 24 years,61403
Total!!Margin of Error!!AGE!!20 to 24 years,1614
Total!!Estimate!!AGE!!25 to 29 years,57870
Total!!Margin of Error!!AGE!!25 to 29 years,819
Total!!Estimate!!AGE!!30 to 34 years,67091
Total!!Margin of Error!!AGE!!30 to 34 years,1026
Total!!Estimate!!AGE!!35 to 44 years,128689
Total!!Margin of Error!!AGE!!35 to 44 years,1434
Total!!Estimate!!AGE!!45 to 54 years,115314
Total!!Margin of Error!!AGE!!45 to 54 years,1291
Total!!Estimate!!AGE!!55 to 59 years,65582
Total!!Margin of Error!!AGE!!55 to 59 years,3288
Total!!Estimate!!AGE!!60 to 64 years,76924
Total!!Margin of Error!!AGE!!60 to 64 years,3143
Total!!Estimate!!AGE!!65 to 74 years,132870
Total!!Margin of Error!!AGE!!65 to 74 years,1131
Total!!Estimate!!AGE!!75 years and over,87087
Total!!Margin of Error!!AGE!!75 years and over,964
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,528269
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,3610
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,184880
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,4604
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,36215
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,976
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,38600
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,4394
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,54876
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,6303
Total!!Estimate!!Hispanic or Latino origin (of any race),80084
Total!!Margin of Error!!Hispanic or Latino origin (of any race),613
"Total!!Estimate!!White alone, not Hispanic or Latino",517157
"Total!!Margin of Error!!White alone, not Hispanic or Latino",2195
Total!!Estimate!!Population 20 to 64 years,572873
Total!!Margin of Error!!Population 20 to 64 years,1517
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,278544
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,1215
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,294329
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,1106
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,97501
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,4330
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,24583
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,2729
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,16515
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,2465
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,56403
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,3535
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,54777
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,4812
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,507949
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,4927
Total!!Estimate!!DISABILITY STATUS!!With any disability,70754
Total!!Margin of Error!!DISABILITY STATUS!!With any disability,5479
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,511470
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,1457
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,44259
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,3497
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),134704
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),6873
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,141155
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,6856
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,191352
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,7601
Labor Force Participation Rate!!Estimate!!Population 16 years and over,62.2
Labor Force Participation Rate!!Margin of Error!!Population 16 years and over,0.9
Labor Force Participation Rate!!Estimate!!AGE!!16 to 19 years,41.4
