Label,Value
Total!!Estimate!!Population 16 years and over,18768460
Total!!Margin of Error!!Population 16 years and over,9654
Total!!Estimate!!AGE!!16 to 19 years,1060983
Total!!Margin of Error!!AGE!!16 to 19 years,11509
Total!!Estimate!!AGE!!20 to 24 years,1285607
Total!!Margin of Error!!AGE!!20 to 24 years,7908
Total!!Estimate!!AGE!!25 to 29 years,1342235
Total!!Margin of Error!!AGE!!25 to 29 years,6177
Total!!Estimate!!AGE!!30 to 34 years,1472398
Total!!Margin of Error!!AGE!!30 to 34 years,6116
Total!!Estimate!!AGE!!35 to 44 years,2901598
Total!!Margin of Error!!AGE!!35 to 44 years,8900
Total!!Estimate!!AGE!!45 to 54 years,2760526
Total!!Margin of Error!!AGE!!45 to 54 years,8746
Total!!Estimate!!AGE!!55 to 59 years,1429660
Total!!Margin of Error!!AGE!!55 to 59 years,12855
Total!!Estimate!!AGE!!60 to 64 years,1597671
Total!!Margin of Error!!AGE!!60 to 64 years,13598
Total!!Estimate!!AGE!!65 to 74 years,2681522
Total!!Margin of Error!!AGE!!65 to 74 years,5425
Total!!Estimate!!AGE!!75 years and over,2236260
Total!!Margin of Error!!AGE!!75 years and over,4355
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,10787786
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,30735
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,2649563
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,18064
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,80580
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,9694
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,569794
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,6634
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,1222360
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,31926
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,3444401
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,34507
Total!!Estimate!!Hispanic or Latino origin (of any race),4956684
Total!!Margin of Error!!Hispanic or Latino origin (of any race),5550
"Total!!Estimate!!White alone, not Hispanic or Latino",9877675
"Total!!Margin of Error!!White alone, not Hispanic or Latino",14835
Total!!Estimate!!Population 20 to 64 years,12789695
