Label,Value
Total!!Estimate!!Population 16 years and over,5470753
Total!!Margin of Error!!Population 16 years and over,6083
Total!!Estimate!!AGE!!16 to 19 years,382197
Total!!Margin of Error!!AGE!!16 to 19 years,7000
Total!!Estimate!!AGE!!20 to 24 years,473586
Total!!Margin of Error!!AGE!!20 to 24 years,5377
Total!!Estimate!!AGE!!25 to 29 years,437183
Total!!Margin of Error!!AGE!!25 to 29 years,4613
Total!!Estimate!!AGE!!30 to 34 years,455677
Total!!Margin of Error!!AGE!!30 to 34 years,3947
Total!!Estimate!!AGE!!35 to 44 years,878779
Total!!Margin of Error!!AGE!!35 to 44 years,6088
Total!!Estimate!!AGE!!45 to 54 years,818503
Total!!Margin of Error!!AGE!!45 to 54 years,5607
Total!!Estimate!!AGE!!55 to 59 years,407227
Total!!Margin of Error!!AGE!!55 to 59 years,8062
Total!!Estimate!!AGE!!60 to 64 years,436033
Total!!Margin of Error!!AGE!!60 to 64 years,8558
Total!!Estimate!!AGE!!65 to 74 years,704321
Total!!Margin of Error!!AGE!!65 to 74 years,2707
Total!!Estimate!!AGE!!75 years and over,477247
Total!!Margin of Error!!AGE!!75 years and over,2578
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,4301479
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,9080
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,472568
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,6601
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,17126
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,3223
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,144479
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,3717
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,185481
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,9763
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,346796
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,13433
Total!!Estimate!!Hispanic or Latino origin (of any race),418954
Total!!Margin of Error!!Hispanic or Latino origin (of any race),3170
"Total!!Estimate!!White alone, not Hispanic or Latino",4227197
"Total!!Margin of Error!!White alone, not Hispanic or Latino",7108
Total!!Estimate!!Population 20 to 64 years,3906988
Total!!Margin of Error!!Population 20 to 64 years,5567
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,1963422
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,4991
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,1943566
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,3698
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,677538
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,11864
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,147616
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,6682
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,143467
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,6809
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,386455
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,10486
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,443495
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,11636
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,3387669
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,13553
Total!!Estimate!!DISABILITY STATUS!!With any disability,486519
Total!!Margin of Error!!DISABILITY STATUS!!With any disability,13184
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,3433402
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,5613
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,317033
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,10561
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),1015281
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),18560
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,993335
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,15734
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,1107753
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,17081
Labor Force Participation Rate!!Estimate!!Population 16 years and over,64.4
Labor Force Participation Rate!!Margin of Error!!Population 16 years and over,0.3
Labor Force Participation Rate!!Estimate!!AGE!!16 to 19 years,44.5
Labor Force Participation Rate!!Margin of Error!!AGE!!16 to 19 years,1.5
Labor Force Participation Rate!!Estimate!!AGE!!20 to 24 years,80.2
Labor Force Participation Rate!!Margin of Error!!AGE!!20 to 24 years,1.1
Labor Force Participation Rate!!Estimate!!AGE!!25 to 29 years,85.8
Labor Force Participation Rate!!Margin of Error!!AGE!!25 to 29 years,1.0
Labor Force Participation Rate!!Estimate!!AGE!!30 to 34 years,84.1
Labor Force Participation Rate!!Margin of Error!!AGE!!30 to 34 years,1.0
Labor Force Participation Rate!!Estimate!!AGE!!35 to 44 years,84.1
Labor Force Participation Rate!!Margin of Error!!AGE!!35 to 44 years,0.7
Labor Force Participation Rate!!Estimate!!AGE!!45 to 54 years,83.3
Labor Force Participation Rate!!Margin of Error!!AGE!!45 to 54 years,0.7
Labor Force Participation Rate!!Estimate!!AGE!!55 to 59 years,74.7
Labor Force Participation Rate!!Margin of Error!!AGE!!55 to 59 years,1.2
Labor Force Participation Rate!!Estimate!!AGE!!60 to 64 years,61.3
Labor Force Participation Rate!!Margin of Error!!AGE!!60 to 64 years,1.2
Labor Force Participation Rate!!Estimate!!AGE!!65 to 74 years,26.7
Labor Force Participation Rate!!Margin of Error!!AGE!!65 to 74 years,0.8
Labor Force Participation Rate!!Estimate!!AGE!!75 years and over,7.0
Labor Force Participation Rate!!Margin of Error!!AGE!!75 years and over,0.5
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,63.6
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,0.4
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,66.3
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,1.5
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,70.0
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,6.1
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,67.8
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,2.2
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999.0
Annotation of Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999.0
Annotation of Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,69.5
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,2.1
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,66.8
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,1.3
Labor Force Participation Rate!!Estimate!!Hispanic or Latino origin (of any race),70.0
Labor Force Participation Rate!!Margin of Error!!Hispanic or Latino origin (of any race),1.5
"Labor Force Participation Rate!!Estimate!!White alone, not Hispanic or Latino",63.5
"Labor Force Participation Rate!!Margin of Error!!White alone, not Hispanic or Latino",0.4
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years,80.1
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years,0.4
