Label,Value
Total!!Estimate!!Population 16 years and over,2339516
Total!!Margin of Error!!Population 16 years and over,3580
Total!!Estimate!!AGE!!16 to 19 years,169019
Total!!Margin of Error!!AGE!!16 to 19 years,5106
Total!!Estimate!!AGE!!20 to 24 years,214245
Total!!Margin of Error!!AGE!!20 to 24 years,4420
Total!!Estimate!!AGE!!25 to 29 years,189943
Total!!Margin of Error!!AGE!!25 to 29 years,3341
Total!!Estimate!!AGE!!30 to 34 years,187885
Total!!Margin of Error!!AGE!!30 to 34 years,3388
Total!!Estimate!!AGE!!35 to 44 years,387801
Total!!Margin of Error!!AGE!!35 to 44 years,3975
Total!!Estimate!!AGE!!45 to 54 years,325660
Total!!Margin of Error!!AGE!!45 to 54 years,3390
Total!!Estimate!!AGE!!55 to 59 years,157918
Total!!Margin of Error!!AGE!!55 to 59 years,4894
Total!!Estimate!!AGE!!60 to 64 years,188680
Total!!Margin of Error!!AGE!!60 to 64 years,5053
Total!!Estimate!!AGE!!65 to 74 years,306990
Total!!Margin of Error!!AGE!!65 to 74 years,2806
Total!!Estimate!!AGE!!75 years and over,211375
Total!!Margin of Error!!AGE!!75 years and over,1935
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,1816225
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,6128
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,127400
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,3683
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,20132
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,2198
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,64649
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,2164
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,90802
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,5915
