Label,Value
Total!!Estimate!!Population 16 years and over,3635137
Total!!Margin of Error!!Population 16 years and over,6171
Total!!Estimate!!AGE!!16 to 19 years,238858
Total!!Margin of Error!!AGE!!16 to 19 years,6628
Total!!Estimate!!AGE!!20 to 24 years,293386
Total!!Margin of Error!!AGE!!20 to 24 years,6678
Total!!Estimate!!AGE!!25 to 29 years,280701
Total!!Margin of Error!!AGE!!25 to 29 years,4741
Total!!Estimate!!AGE!!30 to 34 years,308764
Total!!Margin of Error!!AGE!!30 to 34 years,6157
Total!!Estimate!!AGE!!35 to 44 years,622533
Total!!Margin of Error!!AGE!!35 to 44 years,7177
Total!!Estimate!!AGE!!45 to 54 years,529166
Total!!Margin of Error!!AGE!!45 to 54 years,6321
Total!!Estimate!!AGE!!55 to 59 years,266286
Total!!Margin of Error!!AGE!!55 to 59 years,7622
Total!!Estimate!!AGE!!60 to 64 years,300852
Total!!Margin of Error!!AGE!!60 to 64 years,7229
Total!!Estimate!!AGE!!65 to 74 years,483863
Total!!Margin of Error!!AGE!!65 to 74 years,3351
Total!!Estimate!!AGE!!75 years and over,310728
Total!!Margin of Error!!AGE!!75 years and over,2622
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,2132359
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,5739
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,1080345
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,8817
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,29312
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,4461
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,69576
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,2981
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,79457
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,8324
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,241853
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,9744
Total!!Estimate!!Hispanic or Latino origin (of any race),232140
Total!!Margin of Error!!Hispanic or Latino origin (of any race),2720
"Total!!Estimate!!White alone, not Hispanic or Latino",2097822
"Total!!Margin of Error!!White alone, not Hispanic or Latino",4503
Total!!Estimate!!Population 20 to 64 years,2601688
Total!!Margin of Error!!Population 20 to 64 years,5856
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,1277463
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,4396
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,1324225
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,5335
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,458881
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,10786
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,101721
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,6306
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,97742
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,5934
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,259418
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,9111
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,441134
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,14594
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,2088828
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,16155
Total!!Estimate!!DISABILITY STATUS!!With any disability,384784
Total!!Margin of Error!!DISABILITY STATUS!!With any disability,11745
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,2308302
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,7035
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,265486
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,9552
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),733161
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),14705
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,664417
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,12012
