Label,Value
Total!!Estimate!!Population 16 years and over,8186295
Total!!Margin of Error!!Population 16 years and over,5916
Total!!Estimate!!AGE!!16 to 19 years,518524
Total!!Margin of Error!!AGE!!16 to 19 years,7238
Total!!Estimate!!AGE!!20 to 24 years,659915
Total!!Margin of Error!!AGE!!20 to 24 years,5185
Total!!Estimate!!AGE!!25 to 29 years,633703
Total!!Margin of Error!!AGE!!25 to 29 years,3553
Total!!Estimate!!AGE!!30 to 34 years,680649
Total!!Margin of Error!!AGE!!30 to 34 years,3841
Total!!Estimate!!AGE!!35 to 44 years,1229453
Total!!Margin of Error!!AGE!!35 to 44 years,4070
Total!!Estimate!!AGE!!45 to 54 years,1194336
Total!!Margin of Error!!AGE!!45 to 54 years,3998
Total!!Estimate!!AGE!!55 to 59 years,640195
Total!!Margin of Error!!AGE!!55 to 59 years,8014
Total!!Estimate!!AGE!!60 to 64 years,697295
Total!!Margin of Error!!AGE!!60 to 64 years,8446
Total!!Estimate!!AGE!!65 to 74 years,1160000
Total!!Margin of Error!!AGE!!65 to 74 years,2834
Total!!Estimate!!AGE!!75 years and over,772225
Total!!Margin of Error!!AGE!!75 years and over,2638
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,6185860
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,9596
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,1038675
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,9555
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,40074
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,3926
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,280512
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,4456
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,145976
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,8015
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,493229
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,12079
Total!!Estimate!!Hispanic or Latino origin (of any race),429989
Total!!Margin of Error!!Hispanic or Latino origin (of any race),1954
"Total!!Estimate!!White alone, not Hispanic or Latino",6087448
"Total!!Margin of Error!!White alone, not Hispanic or Latino",7796
Total!!Estimate!!Population 20 to 64 years,5735546
Total!!Margin of Error!!Population 20 to 64 years,4917
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,2871763
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,3601
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,2863783
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,3896
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,941588
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,12750
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,207416
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,8536
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,180513
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,7014
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,553659
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,9969
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,720922
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,17230
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,4931148
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,17478
Total!!Estimate!!DISABILITY STATUS!!With any disability,720441
Total!!Margin of Error!!DISABILITY STATUS!!With any disability,15259
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,5075631
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,5563
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,387531
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,11704
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),1302596
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),18241
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,1615070
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,21869
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,1770434
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,20221
Labor Force Participation Rate!!Estimate!!Population 16 years and over,61.7
Labor Force Participation Rate!!Margin of Error!!Population 16 years and over,0.2
Labor Force Participation Rate!!Estimate!!AGE!!16 to 19 years,46.7
Labor Force Participation Rate!!Margin of Error!!AGE!!16 to 19 years,1.0
Labor Force Participation Rate!!Estimate!!AGE!!20 to 24 years,78.8
Labor Force Participation Rate!!Margin of Error!!AGE!!20 to 24 years,1.0
Labor Force Participation Rate!!Estimate!!AGE!!25 to 29 years,84.9
Labor Force Participation Rate!!Margin of Error!!AGE!!25 to 29 years,0.7
Labor Force Participation Rate!!Estimate!!AGE!!30 to 34 years,84.6
Labor Force Participation Rate!!Margin of Error!!AGE!!30 to 34 years,0.7
Labor Force Participation Rate!!Estimate!!AGE!!35 to 44 years,83.4
Labor Force Participation Rate!!Margin of Error!!AGE!!35 to 44 years,0.6
Labor Force Participation Rate!!Estimate!!AGE!!45 to 54 years,82.0
Labor Force Participation Rate!!Margin of Error!!AGE!!45 to 54 years,0.6
Labor Force Participation Rate!!Estimate!!AGE!!55 to 59 years,72.9
Labor Force Participation Rate!!Margin of Error!!AGE!!55 to 59 years,0.9
Labor Force Participation Rate!!Estimate!!AGE!!60 to 64 years,54.5
