Label,Value
Total!!Estimate!!Population 16 years and over,4997010
Total!!Margin of Error!!Population 16 years and over,5709
Total!!Estimate!!AGE!!16 to 19 years,335200
Total!!Margin of Error!!AGE!!16 to 19 years,6528
Total!!Estimate!!AGE!!20 to 24 years,406000
Total!!Margin of Error!!AGE!!20 to 24 years,5527
Total!!Estimate!!AGE!!25 to 29 years,391461
Total!!Margin of Error!!AGE!!25 to 29 years,4154
Total!!Estimate!!AGE!!30 to 34 years,415312
Total!!Margin of Error!!AGE!!30 to 34 years,4151
Total!!Estimate!!AGE!!35 to 44 years,800294
Total!!Margin of Error!!AGE!!35 to 44 years,5367
Total!!Estimate!!AGE!!45 to 54 years,720232
Total!!Margin of Error!!AGE!!45 to 54 years,4756
Total!!Estimate!!AGE!!55 to 59 years,367470
Total!!Margin of Error!!AGE!!55 to 59 years,7713
Total!!Estimate!!AGE!!60 to 64 years,422544
Total!!Margin of Error!!AGE!!60 to 64 years,7648
Total!!Estimate!!AGE!!65 to 74 years,671687
Total!!Margin of Error!!AGE!!65 to 74 years,2738
Total!!Estimate!!AGE!!75 years and over,466810
Total!!Margin of Error!!AGE!!75 years and over,2113
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,3968622
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,7781
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,522491
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,6159
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,16557
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,2255
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,107611
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,2754
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,82076
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,5559
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,293607
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,10365
Total!!Estimate!!Hispanic or Latino origin (of any race),229263
Total!!Margin of Error!!Hispanic or Latino origin (of any race),2399
"Total!!Estimate!!White alone, not Hispanic or Latino",3913040
"Total!!Margin of Error!!White alone, not Hispanic or Latino",6997
Total!!Estimate!!Population 20 to 64 years,3523313
Total!!Margin of Error!!Population 20 to 64 years,5904
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,1752278
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,4915
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,1771035
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,4238
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,609099
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,9071
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,133864
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,6030
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,122977
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,6278
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,352258
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,7519
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,385255
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,13712
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,3067125
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,14546
Total!!Estimate!!DISABILITY STATUS!!With any disability,455462
Total!!Margin of Error!!DISABILITY STATUS!!With any disability,9565
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,3117313
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,6198
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,231844
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,8279
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),855300
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),13009
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,929179
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,14529
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,1100990
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,15142
Labor Force Participation Rate!!Estimate!!Population 16 years and over,63.9
Labor Force Participation Rate!!Margin of Error!!Population 16 years and over,0.3
Labor Force Participation Rate!!Estimate!!AGE!!16 to 19 years,49.3
Labor Force Participation Rate!!Margin of Error!!AGE!!16 to 19 years,1.8
