Label,Value
Total!!Estimate!!Population 16 years and over,2354139
Total!!Margin of Error!!Population 16 years and over,3683
Total!!Estimate!!AGE!!16 to 19 years,181090
Total!!Margin of Error!!AGE!!16 to 19 years,5760
Total!!Estimate!!AGE!!20 to 24 years,192902
Total!!Margin of Error!!AGE!!20 to 24 years,5338
Total!!Estimate!!AGE!!25 to 29 years,173595
Total!!Margin of Error!!AGE!!25 to 29 years,5305
Total!!Estimate!!AGE!!30 to 34 years,177133
Total!!Margin of Error!!AGE!!30 to 34 years,5352
Total!!Estimate!!AGE!!35 to 44 years,389028
Total!!Margin of Error!!AGE!!35 to 44 years,7335
Total!!Estimate!!AGE!!45 to 54 years,357694
Total!!Margin of Error!!AGE!!45 to 54 years,6574
Total!!Estimate!!AGE!!55 to 59 years,170004
Total!!Margin of Error!!AGE!!55 to 59 years,5085
Total!!Estimate!!AGE!!60 to 64 years,196201
Total!!Margin of Error!!AGE!!60 to 64 years,5255
Total!!Estimate!!AGE!!65 to 74 years,311653
Total!!Margin of Error!!AGE!!65 to 74 years,3123
Total!!Estimate!!AGE!!75 years and over,204839
Total!!Margin of Error!!AGE!!75 years and over,2390
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,1350249
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,4235
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,824371
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,7272
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,11616
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,2204
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,24372
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,2477
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,40821
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,4146
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,101328
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,7066
Total!!Estimate!!Hispanic or Latino origin (of any race),79389
Total!!Margin of Error!!Hispanic or Latino origin (of any race),2988
"Total!!Estimate!!White alone, not Hispanic or Latino",1338001
"Total!!Margin of Error!!White alone, not Hispanic or Latino",3444
Total!!Estimate!!Population 20 to 64 years,1656557
Total!!Margin of Error!!Population 20 to 64 years,5281
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,801706
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,4059
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,854851
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,4177
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,304400
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,7324
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,62147
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,4606
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,59750
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,4381
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,182503
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,6480
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,262920
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,12581
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,1348244
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,13131
Total!!Estimate!!DISABILITY STATUS!!With any disability,249836
Total!!Margin of Error!!DISABILITY STATUS!!With any disability,8770
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,1463655
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,5429
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,163525
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,7794
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),415051
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),9970
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,498116
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,11337
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,386963
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,9959
Labor Force Participation Rate!!Estimate!!Population 16 years and over,57.6
Labor Force Participation Rate!!Margin of Error!!Population 16 years and over,0.6
Labor Force Participation Rate!!Estimate!!AGE!!16 to 19 years,32.5
Labor Force Participation Rate!!Margin of Error!!AGE!!16 to 19 years,2.0
Labor Force Participation Rate!!Estimate!!AGE!!20 to 24 years,70.3
Labor Force Participation Rate!!Margin of Error!!AGE!!20 to 24 years,2.3
Labor Force Participation Rate!!Estimate!!AGE!!25 to 29 years,81.9
Labor Force Participation Rate!!Margin of Error!!AGE!!25 to 29 years,2.1
Labor Force Participation Rate!!Estimate!!AGE!!30 to 34 years,79.0
Labor Force Participation Rate!!Margin of Error!!AGE!!30 to 34 years,2.0
Labor Force Participation Rate!!Estimate!!AGE!!35 to 44 years,79.2
Labor Force Participation Rate!!Margin of Error!!AGE!!35 to 44 years,1.5
Labor Force Participation Rate!!Estimate!!AGE!!45 to 54 years,76.3
Labor Force Participation Rate!!Margin of Error!!AGE!!45 to 54 years,1.3
Labor Force Participation Rate!!Estimate!!AGE!!55 to 59 years,68.1
Labor Force Participation Rate!!Margin of Error!!AGE!!55 to 59 years,1.8
Labor Force Participation Rate!!Estimate!!AGE!!60 to 64 years,51.8
Labor Force Participation Rate!!Margin of Error!!AGE!!60 to 64 years,2.0
Labor Force Participation Rate!!Estimate!!AGE!!65 to 74 years,21.1
Labor Force Participation Rate!!Margin of Error!!AGE!!65 to 74 years,1.3
Labor Force Participation Rate!!Estimate!!AGE!!75 years and over,7.4
Labor Force Participation Rate!!Margin of Error!!AGE!!75 years and over,0.9
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,56.9
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,0.6
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,57.0
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,1.2
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,63.0
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,6.6
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,64.0
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,4.4
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999.0
