Label,Value
Total!!Estimate!!Population 16 years and over,8792430
Total!!Margin of Error!!Population 16 years and over,7482
Total!!Estimate!!AGE!!16 to 19 years,580962
Total!!Margin of Error!!AGE!!16 to 19 years,9745
Total!!Estimate!!AGE!!20 to 24 years,723916
Total!!Margin of Error!!AGE!!20 to 24 years,7549
Total!!Estimate!!AGE!!25 to 29 years,700558
Total!!Margin of Error!!AGE!!25 to 29 years,7769
Total!!Estimate!!AGE!!30 to 34 years,743213
Total!!Margin of Error!!AGE!!30 to 34 years,8388
Total!!Estimate!!AGE!!35 to 44 years,1404906
Total!!Margin of Error!!AGE!!35 to 44 years,9176
Total!!Estimate!!AGE!!45 to 54 years,1353219
Total!!Margin of Error!!AGE!!45 to 54 years,8086
Total!!Estimate!!AGE!!55 to 59 years,675234
Total!!Margin of Error!!AGE!!55 to 59 years,12286
Total!!Estimate!!AGE!!60 to 64 years,695066
Total!!Margin of Error!!AGE!!60 to 64 years,11619
Total!!Estimate!!AGE!!65 to 74 years,1141720
Total!!Margin of Error!!AGE!!65 to 74 years,5304
Total!!Estimate!!AGE!!75 years and over,773636
Total!!Margin of Error!!AGE!!75 years and over,3821
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,5615573
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,11283
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,1763135
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,10540
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,88994
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,3751
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,292975
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,3826
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,433184
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,15333
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,594384
