Label,Value
Total!!Estimate!!Population 16 years and over,1184596
Total!!Margin of Error!!Population 16 years and over,2143
Total!!Estimate!!AGE!!16 to 19 years,69829
Total!!Margin of Error!!AGE!!16 to 19 years,2541
Total!!Estimate!!AGE!!20 to 24 years,83802
Total!!Margin of Error!!AGE!!20 to 24 years,2127
Total!!Estimate!!AGE!!25 to 29 years,83766
Total!!Margin of Error!!AGE!!25 to 29 years,2005
Total!!Estimate!!AGE!!30 to 34 years,92389
Total!!Margin of Error!!AGE!!30 to 34 years,1611
Total!!Estimate!!AGE!!35 to 44 years,179806
Total!!Margin of Error!!AGE!!35 to 44 years,2422
Total!!Estimate!!AGE!!45 to 54 years,168517
Total!!Margin of Error!!AGE!!45 to 54 years,1799
Total!!Estimate!!AGE!!55 to 59 years,97772
Total!!Margin of Error!!AGE!!55 to 59 years,4908
Total!!Estimate!!AGE!!60 to 64 years,118757
Total!!Margin of Error!!AGE!!60 to 64 years,4610
Total!!Estimate!!AGE!!65 to 74 years,175148
Total!!Margin of Error!!AGE!!65 to 74 years,1332
Total!!Estimate!!AGE!!75 years and over,114810
Total!!Margin of Error!!AGE!!75 years and over,1026
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,1049545
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,5035
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,30834
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,2595
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,13674
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,2955
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,71575
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,5051
Total!!Estimate!!Hispanic or Latino origin (of any race),47549
Total!!Margin of Error!!Hispanic or Latino origin (of any race),1075
"Total!!Estimate!!White alone, not Hispanic or Latino",1039657
"Total!!Margin of Error!!White alone, not Hispanic or Latino",4316
Total!!Estimate!!Population 20 to 64 years,824809
Total!!Margin of Error!!Population 20 to 64 years,2579
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,416907
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,2267
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,407902
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,2074
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,121686
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,5139
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,29786
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,2897
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,20181
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,2809
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,71719
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,4329
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,55390
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,4949
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,753700
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,5882
Total!!Estimate!!DISABILITY STATUS!!With any disability,96158
Total!!Margin of Error!!DISABILITY STATUS!!With any disability,5744
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,741007
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,2579
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,36746
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,3543
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),191566
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),6941
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,197755
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,7167
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,314940
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,8345
Labor Force Participation Rate!!Estimate!!Population 16 years and over,66.5
Labor Force Participation Rate!!Margin of Error!!Population 16 years and over,0.5
Labor Force Participation Rate!!Estimate!!AGE!!16 to 19 years,56.7
Labor Force Participation Rate!!Margin of Error!!AGE!!16 to 19 years,3.9
Labor Force Participation Rate!!Estimate!!AGE!!20 to 24 years,80.6
Labor Force Participation Rate!!Margin of Error!!AGE!!20 to 24 years,2.3
Labor Force Participation Rate!!Estimate!!AGE!!25 to 29 years,88.0
Labor Force Participation Rate!!Margin of Error!!AGE!!25 to 29 years,2.0
Labor Force Participation Rate!!Estimate!!AGE!!30 to 34 years,88.0
Labor Force Participation Rate!!Margin of Error!!AGE!!30 to 34 years,2.1
Labor Force Participation Rate!!Estimate!!AGE!!35 to 44 years,87.0
Labor Force Participation Rate!!Margin of Error!!AGE!!35 to 44 years,1.4
Labor Force Participation Rate!!Estimate!!AGE!!45 to 54 years,86.4
Labor Force Participation Rate!!Margin of Error!!AGE!!45 to 54 years,1.3
Labor Force Participation Rate!!Estimate!!AGE!!55 to 59 years,78.5
Labor Force Participation Rate!!Margin of Error!!AGE!!55 to 59 years,1.7
Labor Force Participation Rate!!Estimate!!AGE!!60 to 64 years,65.8
Labor Force Participation Rate!!Margin of Error!!AGE!!60 to 64 years,2.4
Labor Force Participation Rate!!Estimate!!AGE!!65 to 74 years,33.5
Labor Force Participation Rate!!Margin of Error!!AGE!!65 to 74 years,1.8
Labor Force Participation Rate!!Estimate!!AGE!!75 years and over,8.4
Labor Force Participation Rate!!Margin of Error!!AGE!!75 years and over,1.2
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,65.5
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,0.5
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,-999999999.0
Annotation of Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,N
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,-999999999.0
Annotation of Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,N
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,-999999999.0
Annotation of Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,N
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,-999999999.0
Annotation of Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,N
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,75.6
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,3.0
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999.0
Annotation of Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999.0
Annotation of Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,77.7
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,5.6
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,74.0
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,3.0
Labor Force Participation Rate!!Estimate!!Hispanic or Latino origin (of any race),76.4
Labor Force Participation Rate!!Margin of Error!!Hispanic or Latino origin (of any race),3.2
"Labor Force Participation Rate!!Estimate!!White alone, not Hispanic or Latino",65.4
"Labor Force Participation Rate!!Margin of Error!!White alone, not Hispanic or Latino",0.5
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years,82.4
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years,0.6
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Male,85.2
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,0.9
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female,79.5
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,1.0
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,80.5
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,2.3
