Label,Value
Total!!Estimate!!Population 16 years and over,1723938
Total!!Margin of Error!!Population 16 years and over,3119
Total!!Estimate!!AGE!!16 to 19 years,113373
Total!!Margin of Error!!AGE!!16 to 19 years,4053
Total!!Estimate!!AGE!!20 to 24 years,139508
Total!!Margin of Error!!AGE!!20 to 24 years,3445
Total!!Estimate!!AGE!!25 to 29 years,133804
Total!!Margin of Error!!AGE!!25 to 29 years,3362
Total!!Estimate!!AGE!!30 to 34 years,143021
Total!!Margin of Error!!AGE!!30 to 34 years,3743
Total!!Estimate!!AGE!!35 to 44 years,276085
Total!!Margin of Error!!AGE!!35 to 44 years,5123
Total!!Estimate!!AGE!!45 to 54 years,239914
Total!!Margin of Error!!AGE!!45 to 54 years,4594
Total!!Estimate!!AGE!!55 to 59 years,111763
Total!!Margin of Error!!AGE!!55 to 59 years,4883
Total!!Estimate!!AGE!!60 to 64 years,144698
Total!!Margin of Error!!AGE!!60 to 64 years,4386
Total!!Estimate!!AGE!!65 to 74 years,249033
Total!!Margin of Error!!AGE!!65 to 74 years,2620
Total!!Estimate!!AGE!!75 years and over,172739
Total!!Margin of Error!!AGE!!75 years and over,2194
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,851180
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,10027
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,34742
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,2516
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,156672
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,5134
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,32958
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,2754
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,220251
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,11860
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,424985
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,12732
Total!!Estimate!!Hispanic or Latino origin (of any race),790135
Total!!Margin of Error!!Hispanic or Latino origin (of any race),2091
"Total!!Estimate!!White alone, not Hispanic or Latino",670459
"Total!!Margin of Error!!White alone, not Hispanic or Latino",2969
Total!!Estimate!!Population 20 to 64 years,1188793
Total!!Margin of Error!!Population 20 to 64 years,3916
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,600156
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,3278
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,588637
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,2911
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,196414
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,7864
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,39300
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,4167
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,40666
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,3420
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,116448
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,6002
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,187710
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,10176
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,977512
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,11020
Total!!Estimate!!DISABILITY STATUS!!With any disability,181063
Total!!Margin of Error!!DISABILITY STATUS!!With any disability,10001
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,1049285
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,4533
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,126925
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,7187
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),269990
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),9965
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,331177
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,10444
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,321193
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,9200
Labor Force Participation Rate!!Estimate!!Population 16 years and over,58.6
Labor Force Participation Rate!!Margin of Error!!Population 16 years and over,0.6
Labor Force Participation Rate!!Estimate!!AGE!!16 to 19 years,38.3
Labor Force Participation Rate!!Margin of Error!!AGE!!16 to 19 years,2.9
Labor Force Participation Rate!!Estimate!!AGE!!20 to 24 years,79.4
Labor Force Participation Rate!!Margin of Error!!AGE!!20 to 24 years,2.6
Labor Force Participation Rate!!Estimate!!AGE!!25 to 29 years,78.6
Labor Force Participation Rate!!Margin of Error!!AGE!!25 to 29 years,2.3
Labor Force Participation Rate!!Estimate!!AGE!!30 to 34 years,79.4
Labor Force Participation Rate!!Margin of Error!!AGE!!30 to 34 years,1.8
Labor Force Participation Rate!!Estimate!!AGE!!35 to 44 years,81.3
Labor Force Participation Rate!!Margin of Error!!AGE!!35 to 44 years,1.6
Labor Force Participation Rate!!Estimate!!AGE!!45 to 54 years,77.4
Labor Force Participation Rate!!Margin of Error!!AGE!!45 to 54 years,1.6
Labor Force Participation Rate!!Estimate!!AGE!!55 to 59 years,69.2
Labor Force Participation Rate!!Margin of Error!!AGE!!55 to 59 years,2.6
Labor Force Participation Rate!!Estimate!!AGE!!60 to 64 years,52.3
Labor Force Participation Rate!!Margin of Error!!AGE!!60 to 64 years,2.5
Labor Force Participation Rate!!Estimate!!AGE!!65 to 74 years,24.9
Labor Force Participation Rate!!Margin of Error!!AGE!!65 to 74 years,1.2
Labor Force Participation Rate!!Estimate!!AGE!!75 years and over,7.4
Labor Force Participation Rate!!Margin of Error!!AGE!!75 years and over,1.0
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,56.8
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,0.8
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,61.9
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,4.8
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,54.1
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,2.0
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,69.5
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,4.5
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999.0
Annotation of Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999.0
Annotation of Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,61.3
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,1.8
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,61.5
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,1.4
Labor Force Participation Rate!!Estimate!!Hispanic or Latino origin (of any race),62.4
Labor Force Participation Rate!!Margin of Error!!Hispanic or Latino origin (of any race),1.0
"Labor Force Participation Rate!!Estimate!!White alone, not Hispanic or Latino",54.6
"Labor Force Participation Rate!!Margin of Error!!White alone, not Hispanic or Latino",0.8
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years,75.1
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years,0.8
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Male,79.2
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,1.0
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female,70.9
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,1.2
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,72.6
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,2.0
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,69.2
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,5.3
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,65.4
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,4.9
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,76.3
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,2.4
Labor Force Participation Rate!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,49.3
Labor Force Participation Rate!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,2.3
Labor Force Participation Rate!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,81.3
Labor Force Participation Rate!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,0.7
Labor Force Participation Rate!!Estimate!!DISABILITY STATUS!!With any disability,47.5
Labor Force Participation Rate!!Margin of Error!!DISABILITY STATUS!!With any disability,2.3
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,74.5
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,0.8
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,58.8
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,2.6
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),67.5
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),1.6
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,76.3
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,1.3
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,84.8
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,1.2
Employment/Population Ratio!!Estimate!!Population 16 years and over,55.0
Employment/Population Ratio!!Margin of Error!!Population 16 years and over,0.7
Employment/Population Ratio!!Estimate!!AGE!!16 to 19 years,34.1
Employment/Population Ratio!!Margin of Error!!AGE!!16 to 19 years,2.9
Employment/Population Ratio!!Estimate!!AGE!!20 to 24 years,69.1
