Label,Value
Total!!Estimate!!Population 16 years and over,2594279
Total!!Margin of Error!!Population 16 years and over,3364
Total!!Estimate!!AGE!!16 to 19 years,157676
Total!!Margin of Error!!AGE!!16 to 19 years,3743
Total!!Estimate!!AGE!!20 to 24 years,183350
Total!!Margin of Error!!AGE!!20 to 24 years,2455
Total!!Estimate!!AGE!!25 to 29 years,215003
Total!!Margin of Error!!AGE!!25 to 29 years,2382
Total!!Estimate!!AGE!!30 to 34 years,240589
Total!!Margin of Error!!AGE!!30 to 34 years,2695
Total!!Estimate!!AGE!!35 to 44 years,446735
Total!!Margin of Error!!AGE!!35 to 44 years,2916
Total!!Estimate!!AGE!!45 to 54 years,401070
Total!!Margin of Error!!AGE!!45 to 54 years,2795
Total!!Estimate!!AGE!!55 to 59 years,192508
Total!!Margin of Error!!AGE!!55 to 59 years,4744
Total!!Estimate!!AGE!!60 to 64 years,202489
Total!!Margin of Error!!AGE!!60 to 64 years,4728
Total!!Estimate!!AGE!!65 to 74 years,332418
Total!!Margin of Error!!AGE!!65 to 74 years,1988
Total!!Estimate!!AGE!!75 years and over,222441
Total!!Margin of Error!!AGE!!75 years and over,1077
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,1367673
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,12214
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,233131
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,5714
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,36436
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,4232
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,252775
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,4125
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,18852
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,1862
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,320751
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,13701
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,364661
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,13564
Total!!Estimate!!Hispanic or Latino origin (of any race),707974
Total!!Margin of Error!!Hispanic or Latino origin (of any race),2436
"Total!!Estimate!!White alone, not Hispanic or Latino",1240638
"Total!!Margin of Error!!White alone, not Hispanic or Latino",4353
Total!!Estimate!!Population 20 to 64 years,1881744
Total!!Margin of Error!!Population 20 to 64 years,2911
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,955642
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,2110
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,926102
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,1911
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,286901
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,8943
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,57332
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,4222
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,59752
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,5231
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,169817
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,7268
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,200886
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,10821
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,1659638
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,11184
Total!!Estimate!!DISABILITY STATUS!!With any disability,231373
Total!!Margin of Error!!DISABILITY STATUS!!With any disability,9265
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,1698394
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,3241
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,210032
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,7472
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),463771
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),13039
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,534027
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,10916
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,490564
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,12051
Labor Force Participation Rate!!Estimate!!Population 16 years and over,63.5
Labor Force Participation Rate!!Margin of Error!!Population 16 years and over,0.5
Labor Force Participation Rate!!Estimate!!AGE!!16 to 19 years,39.5
Labor Force Participation Rate!!Margin of Error!!AGE!!16 to 19 years,2.3
Labor Force Participation Rate!!Estimate!!AGE!!20 to 24 years,77.8
Labor Force Participation Rate!!Margin of Error!!AGE!!20 to 24 years,1.8
Labor Force Participation Rate!!Estimate!!AGE!!25 to 29 years,82.3
Labor Force Participation Rate!!Margin of Error!!AGE!!25 to 29 years,1.5
Labor Force Participation Rate!!Estimate!!AGE!!30 to 34 years,84.9
Labor Force Participation Rate!!Margin of Error!!AGE!!30 to 34 years,1.6
Labor Force Participation Rate!!Estimate!!AGE!!35 to 44 years,82.0
Labor Force Participation Rate!!Margin of Error!!AGE!!35 to 44 years,1.2
Labor Force Participation Rate!!Estimate!!AGE!!45 to 54 years,82.1
Labor Force Participation Rate!!Margin of Error!!AGE!!45 to 54 years,1.2
Labor Force Participation Rate!!Estimate!!AGE!!55 to 59 years,73.0
Labor Force Participation Rate!!Margin of Error!!AGE!!55 to 59 years,1.9
Labor Force Participation Rate!!Estimate!!AGE!!60 to 64 years,60.4
Labor Force Participation Rate!!Margin of Error!!AGE!!60 to 64 years,1.9
Labor Force Participation Rate!!Estimate!!AGE!!65 to 74 years,25.5
Labor Force Participation Rate!!Margin of Error!!AGE!!65 to 74 years,1.4
Labor Force Participation Rate!!Estimate!!AGE!!75 years and over,7.9
Labor Force Participation Rate!!Margin of Error!!AGE!!75 years and over,1.0
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,59.7
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,0.7
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,66.6
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,1.7
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,65.2
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,3.6
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,65.6
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,1.3
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,66.2
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,6.0
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,69.1
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,1.8
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,69.0
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,1.3
Labor Force Participation Rate!!Estimate!!Hispanic or Latino origin (of any race),69.9
Labor Force Participation Rate!!Margin of Error!!Hispanic or Latino origin (of any race),1.0
"Labor Force Participation Rate!!Estimate!!White alone, not Hispanic or Latino",58.4
"Labor Force Participation Rate!!Margin of Error!!White alone, not Hispanic or Latino",0.7
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years,78.8
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years,0.5
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Male,83.3
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,0.7
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female,74.1
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,0.8
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,72.1
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,1.7
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,69.7
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,3.3
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,62.4
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,4.1
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,76.4
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,2.1
Labor Force Participation Rate!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,46.4
Labor Force Participation Rate!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,2.4
Labor Force Participation Rate!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,83.6
Labor Force Participation Rate!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,0.5
Labor Force Participation Rate!!Estimate!!DISABILITY STATUS!!With any disability,55.5
Labor Force Participation Rate!!Margin of Error!!DISABILITY STATUS!!With any disability,2.1
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,78.9
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,0.5
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,69.0
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,2.0
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),74.8
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),1.2
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,80.1
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,1.0
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,85.7
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,0.9
Employment/Population Ratio!!Estimate!!Population 16 years and over,60.0
Employment/Population Ratio!!Margin of Error!!Population 16 years and over,0.5
Employment/Population Ratio!!Estimate!!AGE!!16 to 19 years,34.4
Employment/Population Ratio!!Margin of Error!!AGE!!16 to 19 years,2.5
Employment/Population Ratio!!Estimate!!AGE!!20 to 24 years,71.1
Employment/Population Ratio!!Margin of Error!!AGE!!20 to 24 years,1.9
Employment/Population Ratio!!Estimate!!AGE!!25 to 29 years,75.9
Employment/Population Ratio!!Margin of Error!!AGE!!25 to 29 years,1.8
Employment/Population Ratio!!Estimate!!AGE!!30 to 34 years,79.7
Employment/Population Ratio!!Margin of Error!!AGE!!30 to 34 years,1.7
Employment/Population Ratio!!Estimate!!AGE!!35 to 44 years,77.6
Employment/Population Ratio!!Margin of Error!!AGE!!35 to 44 years,1.2
Employment/Population Ratio!!Estimate!!AGE!!45 to 54 years,79.4
Employment/Population Ratio!!Margin of Error!!AGE!!45 to 54 years,1.2
Employment/Population Ratio!!Estimate!!AGE!!55 to 59 years,69.9
Employment/Population Ratio!!Margin of Error!!AGE!!55 to 59 years,1.9
Employment/Population Ratio!!Estimate!!AGE!!60 to 64 years,58.7
Employment/Population Ratio!!Margin of Error!!AGE!!60 to 64 years,1.8
Employment/Population Ratio!!Estimate!!AGE!!65 to 74 years,24.5
Employment/Population Ratio!!Margin of Error!!AGE!!65 to 74 years,1.4
Employment/Population Ratio!!Estimate!!AGE!!75 years and over,7.5
Employment/Population Ratio!!Margin of Error!!AGE!!75 years and over,1.0
Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,56.7
Employment/Population Ratio!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,0.7
Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,62.6
Employment/Population Ratio!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,2.0
Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,61.4
Employment/Population Ratio!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,3.7
Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,62.9
Employment/Population Ratio!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,1.5
Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,61.1
