Label,Value
Total!!Estimate!!Population 16 years and over,9520298
Total!!Margin of Error!!Population 16 years and over,6597
Total!!Estimate!!AGE!!16 to 19 years,612790
Total!!Margin of Error!!AGE!!16 to 19 years,7675
Total!!Estimate!!AGE!!20 to 24 years,734816
Total!!Margin of Error!!AGE!!20 to 24 years,6136
Total!!Estimate!!AGE!!25 to 29 years,754392
Total!!Margin of Error!!AGE!!25 to 29 years,5570
Total!!Estimate!!AGE!!30 to 34 years,796394
Total!!Margin of Error!!AGE!!30 to 34 years,4245
Total!!Estimate!!AGE!!35 to 44 years,1481854
Total!!Margin of Error!!AGE!!35 to 44 years,5981
Total!!Estimate!!AGE!!45 to 54 years,1405017
Total!!Margin of Error!!AGE!!45 to 54 years,5524
Total!!Estimate!!AGE!!55 to 59 years,721789
Total!!Margin of Error!!AGE!!55 to 59 years,12036
Total!!Estimate!!AGE!!60 to 64 years,799249
Total!!Margin of Error!!AGE!!60 to 64 years,11626
Total!!Estimate!!AGE!!65 to 74 years,1318323
Total!!Margin of Error!!AGE!!65 to 74 years,3685
Total!!Estimate!!AGE!!75 years and over,895674
Total!!Margin of Error!!AGE!!75 years and over,3160
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,7475686
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,10658
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,1091512
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,9826
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,18578
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,3384
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,246375
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,3695
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,158488
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,10042
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,525759
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,14502
Total!!Estimate!!Hispanic or Latino origin (of any race),396044
Total!!Margin of Error!!Hispanic or Latino origin (of any race),2701
"Total!!Estimate!!White alone, not Hispanic or Latino",7394442
"Total!!Margin of Error!!White alone, not Hispanic or Latino",8199
Total!!Estimate!!Population 20 to 64 years,6693511
Total!!Margin of Error!!Population 20 to 64 years,6768
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,3344857
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,5172
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,3348654
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,4554
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,1136156
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,12743
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,259323
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,8624
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,224053
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,8888
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,652780
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,12792
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,809067
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,18041
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,5765909
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,20077
Total!!Estimate!!DISABILITY STATUS!!With any disability,834037
Total!!Margin of Error!!DISABILITY STATUS!!With any disability,14217
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,5958695
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,6201
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,447002
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,13651
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),1745662
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),22278
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,1711636
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,21226
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,2054395
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,20501
Labor Force Participation Rate!!Estimate!!Population 16 years and over,63.5
Labor Force Participation Rate!!Margin of Error!!Population 16 years and over,0.2
Labor Force Participation Rate!!Estimate!!AGE!!16 to 19 years,45.8
Labor Force Participation Rate!!Margin of Error!!AGE!!16 to 19 years,1.1
Labor Force Participation Rate!!Estimate!!AGE!!20 to 24 years,79.1
Labor Force Participation Rate!!Margin of Error!!AGE!!20 to 24 years,1.0
Labor Force Participation Rate!!Estimate!!AGE!!25 to 29 years,85.0
Labor Force Participation Rate!!Margin of Error!!AGE!!25 to 29 years,0.8
Labor Force Participation Rate!!Estimate!!AGE!!30 to 34 years,84.9
Labor Force Participation Rate!!Margin of Error!!AGE!!30 to 34 years,0.7
Labor Force Participation Rate!!Estimate!!AGE!!35 to 44 years,84.6
Labor Force Participation Rate!!Margin of Error!!AGE!!35 to 44 years,0.5
Labor Force Participation Rate!!Estimate!!AGE!!45 to 54 years,83.2
Labor Force Participation Rate!!Margin of Error!!AGE!!45 to 54 years,0.5
Labor Force Participation Rate!!Estimate!!AGE!!55 to 59 years,75.2
Labor Force Participation Rate!!Margin of Error!!AGE!!55 to 59 years,0.9
Labor Force Participation Rate!!Estimate!!AGE!!60 to 64 years,60.1
Labor Force Participation Rate!!Margin of Error!!AGE!!60 to 64 years,0.9
Labor Force Participation Rate!!Estimate!!AGE!!65 to 74 years,26.9
Labor Force Participation Rate!!Margin of Error!!AGE!!65 to 74 years,0.6
