Label,Value
Total!!Estimate!!Population 16 years and over,10658635
Total!!Margin of Error!!Population 16 years and over,5710
Total!!Estimate!!AGE!!16 to 19 years,688694
Total!!Margin of Error!!AGE!!16 to 19 years,6840
Total!!Estimate!!AGE!!20 to 24 years,798935
Total!!Margin of Error!!AGE!!20 to 24 years,5183
Total!!Estimate!!AGE!!25 to 29 years,785892
Total!!Margin of Error!!AGE!!25 to 29 years,3495
Total!!Estimate!!AGE!!30 to 34 years,865513
Total!!Margin of Error!!AGE!!30 to 34 years,3855
Total!!Estimate!!AGE!!35 to 44 years,1660159
Total!!Margin of Error!!AGE!!35 to 44 years,5609
Total!!Estimate!!AGE!!45 to 54 years,1524092
Total!!Margin of Error!!AGE!!45 to 54 years,5229
Total!!Estimate!!AGE!!55 to 59 years,835881
Total!!Margin of Error!!AGE!!55 to 59 years,11882
Total!!Estimate!!AGE!!60 to 64 years,901515
Total!!Margin of Error!!AGE!!60 to 64 years,11928
Total!!Estimate!!AGE!!65 to 74 years,1510584
Total!!Margin of Error!!AGE!!65 to 74 years,3441
Total!!Estimate!!AGE!!75 years and over,1087370
Total!!Margin of Error!!AGE!!75 years and over,2880
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,8134224
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,12691
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,1082199
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,11275
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,25588
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,4117
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,409371
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,4748
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,371991
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,16133
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,632085
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,17223
Total!!Estimate!!Hispanic or Latino origin (of any race),813464
Total!!Margin of Error!!Hispanic or Latino origin (of any race),2725
"Total!!Estimate!!White alone, not Hispanic or Latino",8012586
"Total!!Margin of Error!!White alone, not Hispanic or Latino",9146
Total!!Estimate!!Population 20 to 64 years,7371987
Total!!Margin of Error!!Population 20 to 64 years,4995
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,3697039
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,3599
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,3674948
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,4175
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,1212635
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,13962
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,274630
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,7740
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,234438
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,9545
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,703567
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,13013
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,795799
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,20220
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,6399600
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,20154
Total!!Estimate!!DISABILITY STATUS!!With any disability,897540
Total!!Margin of Error!!DISABILITY STATUS!!With any disability,18157
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,6573052
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,4481
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,471255
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,12811
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),1979913
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),22320
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,1609499
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,19975
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,2512385
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,23259
Labor Force Participation Rate!!Estimate!!Population 16 years and over,62.8
Labor Force Participation Rate!!Margin of Error!!Population 16 years and over,0.2
Labor Force Participation Rate!!Estimate!!AGE!!16 to 19 years,44.1
Labor Force Participation Rate!!Margin of Error!!AGE!!16 to 19 years,0.9
Labor Force Participation Rate!!Estimate!!AGE!!20 to 24 years,75.8
Labor Force Participation Rate!!Margin of Error!!AGE!!20 to 24 years,0.8
Labor Force Participation Rate!!Estimate!!AGE!!25 to 29 years,85.6
Labor Force Participation Rate!!Margin of Error!!AGE!!25 to 29 years,0.8
Labor Force Participation Rate!!Estimate!!AGE!!30 to 34 years,85.9
Labor Force Participation Rate!!Margin of Error!!AGE!!30 to 34 years,0.7
Labor Force Participation Rate!!Estimate!!AGE!!35 to 44 years,85.6
Labor Force Participation Rate!!Margin of Error!!AGE!!35 to 44 years,0.5
Labor Force Participation Rate!!Estimate!!AGE!!45 to 54 years,83.6
Labor Force Participation Rate!!Margin of Error!!AGE!!45 to 54 years,0.6
Labor Force Participation Rate!!Estimate!!AGE!!55 to 59 years,75.4
Labor Force Participation Rate!!Margin of Error!!AGE!!55 to 59 years,0.8
Labor Force Participation Rate!!Estimate!!AGE!!60 to 64 years,60.6
Labor Force Participation Rate!!Margin of Error!!AGE!!60 to 64 years,0.8
Labor Force Participation Rate!!Estimate!!AGE!!65 to 74 years,27.3
Labor Force Participation Rate!!Margin of Error!!AGE!!65 to 74 years,0.7
Labor Force Participation Rate!!Estimate!!AGE!!75 years and over,7.4
Labor Force Participation Rate!!Margin of Error!!AGE!!75 years and over,0.4
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,61.8
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,0.2
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,62.0
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,1.0
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,68.2
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,6.1
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,67.2
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,1.0
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999.0
Annotation of Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999.0
Annotation of Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,69.8
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,1.7
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,68.8
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,1.3
Labor Force Participation Rate!!Estimate!!Hispanic or Latino origin (of any race),69.3
Labor Force Participation Rate!!Margin of Error!!Hispanic or Latino origin (of any race),1.0
"Labor Force Participation Rate!!Estimate!!White alone, not Hispanic or Latino",61.8
"Labor Force Participation Rate!!Margin of Error!!White alone, not Hispanic or Latino",0.2
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years,80.0
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years,0.3
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Male,83.5
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,0.3
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female,76.4
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,0.4
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,79.0
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,0.8
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,78.2
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,1.7
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,69.0
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,2.0
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,82.7
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,1.0
Labor Force Participation Rate!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,46.2
Labor Force Participation Rate!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,1.2
Labor Force Participation Rate!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,85.7
Labor Force Participation Rate!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,0.2
Labor Force Participation Rate!!Estimate!!DISABILITY STATUS!!With any disability,50.3
Labor Force Participation Rate!!Margin of Error!!DISABILITY STATUS!!With any disability,1.2
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,80.5
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,0.3
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,60.2
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,1.3
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),73.2
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),0.5
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,82.1
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,0.5
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,89.0
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,0.3
Employment/Population Ratio!!Estimate!!Population 16 years and over,60.0
Employment/Population Ratio!!Margin of Error!!Population 16 years and over,0.3
Employment/Population Ratio!!Estimate!!AGE!!16 to 19 years,38.7
Employment/Population Ratio!!Margin of Error!!AGE!!16 to 19 years,0.8
Employment/Population Ratio!!Estimate!!AGE!!20 to 24 years,69.0
Employment/Population Ratio!!Margin of Error!!AGE!!20 to 24 years,0.9
Employment/Population Ratio!!Estimate!!AGE!!25 to 29 years,81.4
Employment/Population Ratio!!Margin of Error!!AGE!!25 to 29 years,0.8
Employment/Population Ratio!!Estimate!!AGE!!30 to 34 years,82.1
