Label,Value
Total!!Estimate!!Population 16 years and over,916988
Total!!Margin of Error!!Population 16 years and over,2254
Total!!Estimate!!AGE!!16 to 19 years,59317
Total!!Margin of Error!!AGE!!16 to 19 years,2715
Total!!Estimate!!AGE!!20 to 24 years,71178
Total!!Margin of Error!!AGE!!20 to 24 years,1955
Total!!Estimate!!AGE!!25 to 29 years,73447
Total!!Margin of Error!!AGE!!25 to 29 years,1880
Total!!Estimate!!AGE!!30 to 34 years,80339
Total!!Margin of Error!!AGE!!30 to 34 years,1288
Total!!Estimate!!AGE!!35 to 44 years,142930
Total!!Margin of Error!!AGE!!35 to 44 years,2361
Total!!Estimate!!AGE!!45 to 54 years,126538
Total!!Margin of Error!!AGE!!45 to 54 years,2013
Total!!Estimate!!AGE!!55 to 59 years,73372
Total!!Margin of Error!!AGE!!55 to 59 years,2892
Total!!Estimate!!AGE!!60 to 64 years,77491
Total!!Margin of Error!!AGE!!60 to 64 years,3041
Total!!Estimate!!AGE!!65 to 74 years,123761
Total!!Margin of Error!!AGE!!65 to 74 years,1289
Total!!Estimate!!AGE!!75 years and over,88615
Total!!Margin of Error!!AGE!!75 years and over,1615
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,664843
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,4092
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,49583
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,3933
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,31620
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,1947
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,61157
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,7647
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,102732
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,8480
Total!!Estimate!!Hispanic or Latino origin (of any race),143174
Total!!Margin of Error!!Hispanic or Latino origin (of any race),1456
"Total!!Estimate!!White alone, not Hispanic or Latino",651237
"Total!!Margin of Error!!White alone, not Hispanic or Latino",2458
Total!!Estimate!!Population 20 to 64 years,645295
Total!!Margin of Error!!Population 20 to 64 years,2407
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,320812
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,1419
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,324483
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,2343
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,102371
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,5546
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,27559
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,3113
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,19229
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,2629
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,55583
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,4425
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,60976
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,5891
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,568428
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,5306
Total!!Estimate!!DISABILITY STATUS!!With any disability,71307
Total!!Margin of Error!!DISABILITY STATUS!!With any disability,5751
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,574117
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,2193
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,51433
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,4987
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),147333
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),7564
