Label,Value
Total!!Estimate!!Population 16 years and over,5747865
Total!!Margin of Error!!Population 16 years and over,6862
Total!!Estimate!!AGE!!16 to 19 years,355609
Total!!Margin of Error!!AGE!!16 to 19 years,8073
Total!!Estimate!!AGE!!20 to 24 years,460289
Total!!Margin of Error!!AGE!!20 to 24 years,6588
Total!!Estimate!!AGE!!25 to 29 years,481495
Total!!Margin of Error!!AGE!!25 to 29 years,5914
Total!!Estimate!!AGE!!30 to 34 years,496983
Total!!Margin of Error!!AGE!!30 to 34 years,5119
Total!!Estimate!!AGE!!35 to 44 years,935375
Total!!Margin of Error!!AGE!!35 to 44 years,6277
Total!!Estimate!!AGE!!45 to 54 years,869841
Total!!Margin of Error!!AGE!!45 to 54 years,4873
Total!!Estimate!!AGE!!55 to 59 years,434374
Total!!Margin of Error!!AGE!!55 to 59 years,9204
Total!!Estimate!!AGE!!60 to 64 years,467303
Total!!Margin of Error!!AGE!!60 to 64 years,9244
Total!!Estimate!!AGE!!65 to 74 years,749345
Total!!Margin of Error!!AGE!!65 to 74 years,3921
Total!!Estimate!!AGE!!75 years and over,497251
Total!!Margin of Error!!AGE!!75 years and over,3115
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,4276862
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,7293
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,859171
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,7935
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,16383
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,3779
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,108373
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,3040
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,134540
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,8465
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,348411
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,9740
Total!!Estimate!!Hispanic or Latino origin (of any race),358974
Total!!Margin of Error!!Hispanic or Latino origin (of any race),3950
"Total!!Estimate!!White alone, not Hispanic or Latino",4216564
"Total!!Margin of Error!!White alone, not Hispanic or Latino",5539
Total!!Estimate!!Population 20 to 64 years,4145660
Total!!Margin of Error!!Population 20 to 64 years,7438
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,2044880
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,5305
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,2100780
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,5775
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,702813
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,11889
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,164808
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,7338
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,137631
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,7053
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,400374
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,9400
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,502181
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,14343
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,3569122
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,15373
Total!!Estimate!!DISABILITY STATUS!!With any disability,505722
Total!!Margin of Error!!DISABILITY STATUS!!With any disability,15089
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,3685371
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,7688
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,333367
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,12543
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),1091062
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),19647
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,1021962
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,16328
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,1238980
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,20432
Labor Force Participation Rate!!Estimate!!Population 16 years and over,62.7
Labor Force Participation Rate!!Margin of Error!!Population 16 years and over,0.3
Labor Force Participation Rate!!Estimate!!AGE!!16 to 19 years,45.1
Labor Force Participation Rate!!Margin of Error!!AGE!!16 to 19 years,1.7
Labor Force Participation Rate!!Estimate!!AGE!!20 to 24 years,77.6
Labor Force Participation Rate!!Margin of Error!!AGE!!20 to 24 years,1.4
Labor Force Participation Rate!!Estimate!!AGE!!25 to 29 years,84.1
Labor Force Participation Rate!!Margin of Error!!AGE!!25 to 29 years,1.1
Labor Force Participation Rate!!Estimate!!AGE!!30 to 34 years,83.7
Labor Force Participation Rate!!Margin of Error!!AGE!!30 to 34 years,1.1
Labor Force Participation Rate!!Estimate!!AGE!!35 to 44 years,83.3
Labor Force Participation Rate!!Margin of Error!!AGE!!35 to 44 years,0.7
Labor Force Participation Rate!!Estimate!!AGE!!45 to 54 years,79.3
Labor Force Participation Rate!!Margin of Error!!AGE!!45 to 54 years,0.8
Labor Force Participation Rate!!Estimate!!AGE!!55 to 59 years,70.5
Labor Force Participation Rate!!Margin of Error!!AGE!!55 to 59 years,1.3
Labor Force Participation Rate!!Estimate!!AGE!!60 to 64 years,56.7
Labor Force Participation Rate!!Margin of Error!!AGE!!60 to 64 years,1.1
Labor Force Participation Rate!!Estimate!!AGE!!65 to 74 years,24.8
Labor Force Participation Rate!!Margin of Error!!AGE!!65 to 74 years,0.8
Labor Force Participation Rate!!Estimate!!AGE!!75 years and over,7.9
Labor Force Participation Rate!!Margin of Error!!AGE!!75 years and over,0.7
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,61.4
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,0.4
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,65.3
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,1.0
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,62.6
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,5.7
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,70.4
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,2.5
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999.0
Annotation of Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999.0
