Label,Value
Total!!Estimate!!Population 16 years and over,2600950
Total!!Margin of Error!!Population 16 years and over,3220
Total!!Estimate!!AGE!!16 to 19 years,224458
Total!!Margin of Error!!AGE!!16 to 19 years,4040
Total!!Estimate!!AGE!!20 to 24 years,291473
Total!!Margin of Error!!AGE!!20 to 24 years,2913
Total!!Estimate!!AGE!!25 to 29 years,262174
Total!!Margin of Error!!AGE!!25 to 29 years,2627
Total!!Estimate!!AGE!!30 to 34 years,244416
Total!!Margin of Error!!AGE!!30 to 34 years,2360
Total!!Estimate!!AGE!!35 to 44 years,468194
Total!!Margin of Error!!AGE!!35 to 44 years,3281
Total!!Estimate!!AGE!!45 to 54 years,383876
Total!!Margin of Error!!AGE!!45 to 54 years,2868
Total!!Estimate!!AGE!!55 to 59 years,154185
Total!!Margin of Error!!AGE!!55 to 59 years,5238
Total!!Estimate!!AGE!!60 to 64 years,156425
Total!!Margin of Error!!AGE!!60 to 64 years,5240
Total!!Estimate!!AGE!!65 to 74 years,254612
Total!!Margin of Error!!AGE!!65 to 74 years,1722
Total!!Estimate!!AGE!!75 years and over,161137
Total!!Margin of Error!!AGE!!75 years and over,1399
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,2074825
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,8562
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,28412
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,2593
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,29918
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,3752
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,70535
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,3172
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,25778
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,1866
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,162437
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,9337
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,209045
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,10532
Total!!Estimate!!Hispanic or Latino origin (of any race),377807
Total!!Margin of Error!!Hispanic or Latino origin (of any race),1695
"Total!!Estimate!!White alone, not Hispanic or Latino",1990098
"Total!!Margin of Error!!White alone, not Hispanic or Latino",5018
Total!!Estimate!!Population 20 to 64 years,1960743
Total!!Margin of Error!!Population 20 to 64 years,3019
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,1000603
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,2344
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,960140
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,2363
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,396100
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,7648
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,89168
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,5469
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,92522
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,4932
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,214410
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,6744
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,166987
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,10192
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,1770202
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,10342
Total!!Estimate!!DISABILITY STATUS!!With any disability,193324
Total!!Margin of Error!!DISABILITY STATUS!!With any disability,7426
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,1669270
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,2766
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,116167
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,6243
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),365219
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),10075
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,530797
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,11489
