Label,Value
Total!!Estimate!!Population 16 years and over,6357108
Total!!Margin of Error!!Population 16 years and over,5441
Total!!Estimate!!AGE!!16 to 19 years,370788
Total!!Margin of Error!!AGE!!16 to 19 years,7112
Total!!Estimate!!AGE!!20 to 24 years,475123
Total!!Margin of Error!!AGE!!20 to 24 years,4694
Total!!Estimate!!AGE!!25 to 29 years,553933
Total!!Margin of Error!!AGE!!25 to 29 years,3608
Total!!Estimate!!AGE!!30 to 34 years,624403
Total!!Margin of Error!!AGE!!30 to 34 years,4068
Total!!Estimate!!AGE!!35 to 44 years,1141668
Total!!Margin of Error!!AGE!!35 to 44 years,5194
Total!!Estimate!!AGE!!45 to 54 years,933149
Total!!Margin of Error!!AGE!!45 to 54 years,4584
Total!!Estimate!!AGE!!55 to 59 years,435575
Total!!Margin of Error!!AGE!!55 to 59 years,8240
Total!!Estimate!!AGE!!60 to 64 years,483339
Total!!Margin of Error!!AGE!!60 to 64 years,7722
Total!!Estimate!!AGE!!65 to 74 years,802069
Total!!Margin of Error!!AGE!!65 to 74 years,2904
Total!!Estimate!!AGE!!75 years and over,537061
Total!!Margin of Error!!AGE!!75 years and over,2049
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,4304143
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,13174
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,250164
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,7129
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,74508
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,4726
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,661656
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,6558
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,42592
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,2256
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,330458
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,12050
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,693587
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,16274
Total!!Estimate!!Hispanic or Latino origin (of any race),792683
Total!!Margin of Error!!Hispanic or Latino origin (of any race),2856
"Total!!Estimate!!White alone, not Hispanic or Latino",4163514
"Total!!Margin of Error!!White alone, not Hispanic or Latino",9350
Total!!Estimate!!Population 20 to 64 years,4647190
Total!!Margin of Error!!Population 20 to 64 years,5968
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,2378467
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,4207
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,2268723
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,4015
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,758400
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,12536
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,177898
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,8067
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,143726
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,7624
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,436776
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,9061
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,448114
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,16208
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,4145475
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,16735
Total!!Estimate!!DISABILITY STATUS!!With any disability,536161
Total!!Margin of Error!!DISABILITY STATUS!!With any disability,12882
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,4172067
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,5146
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,325613
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,12309
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),885785
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),15071
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,1221415
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,17200
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,1739254
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,19220
Labor Force Participation Rate!!Estimate!!Population 16 years and over,65.1
Labor Force Participation Rate!!Margin of Error!!Population 16 years and over,0.3
Labor Force Participation Rate!!Estimate!!AGE!!16 to 19 years,40.6
Labor Force Participation Rate!!Margin of Error!!AGE!!16 to 19 years,1.6
Labor Force Participation Rate!!Estimate!!AGE!!20 to 24 years,81.8
Labor Force Participation Rate!!Margin of Error!!AGE!!20 to 24 years,1.1
Labor Force Participation Rate!!Estimate!!AGE!!25 to 29 years,85.9
Labor Force Participation Rate!!Margin of Error!!AGE!!25 to 29 years,0.9
Labor Force Participation Rate!!Estimate!!AGE!!30 to 34 years,84.3
Labor Force Participation Rate!!Margin of Error!!AGE!!30 to 34 years,0.8
Labor Force Participation Rate!!Estimate!!AGE!!35 to 44 years,84.6
Labor Force Participation Rate!!Margin of Error!!AGE!!35 to 44 years,0.6
Labor Force Participation Rate!!Estimate!!AGE!!45 to 54 years,82.5
Labor Force Participation Rate!!Margin of Error!!AGE!!45 to 54 years,0.7
Labor Force Participation Rate!!Estimate!!AGE!!55 to 59 years,76.1
Labor Force Participation Rate!!Margin of Error!!AGE!!55 to 59 years,1.0
Labor Force Participation Rate!!Estimate!!AGE!!60 to 64 years,60.3
Labor Force Participation Rate!!Margin of Error!!AGE!!60 to 64 years,1.2
Labor Force Participation Rate!!Estimate!!AGE!!65 to 74 years,25.5
Labor Force Participation Rate!!Margin of Error!!AGE!!65 to 74 years,0.8
Labor Force Participation Rate!!Estimate!!AGE!!75 years and over,6.0
Labor Force Participation Rate!!Margin of Error!!AGE!!75 years and over,0.5
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,62.3
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,0.3
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,69.3
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,1.6
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,64.1
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,2.7
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,71.5
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,1.0
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,70.4
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,3.1
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,72.0
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,1.7
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,71.0
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,1.0
Labor Force Participation Rate!!Estimate!!Hispanic or Latino origin (of any race),72.6
Labor Force Participation Rate!!Margin of Error!!Hispanic or Latino origin (of any race),1.0
"Labor Force Participation Rate!!Estimate!!White alone, not Hispanic or Latino",61.9
"Labor Force Participation Rate!!Margin of Error!!White alone, not Hispanic or Latino",0.3
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years,80.7
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years,0.3
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Male,85.5
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,0.4
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female,75.6
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,0.5
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,73.0
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,0.9
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,68.8
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,2.0
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,63.4
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,2.1
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,77.9
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,1.2
Labor Force Participation Rate!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,46.8
Labor Force Participation Rate!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,1.5
Labor Force Participation Rate!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,84.9
Labor Force Participation Rate!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,0.3
Labor Force Participation Rate!!Estimate!!DISABILITY STATUS!!With any disability,56.1
Labor Force Participation Rate!!Margin of Error!!DISABILITY STATUS!!With any disability,1.4
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,80.6
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,0.3
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,66.9
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,1.6
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),74.5
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),0.8
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,78.9
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,0.6
Labor Force Participation Rate!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,87.3
Labor Force Participation Rate!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,0.4
Employment/Population Ratio!!Estimate!!Population 16 years and over,61.1
Employment/Population Ratio!!Margin of Error!!Population 16 years and over,0.3
Employment/Population Ratio!!Estimate!!AGE!!16 to 19 years,33.3
Employment/Population Ratio!!Margin of Error!!AGE!!16 to 19 years,1.5
Employment/Population Ratio!!Estimate!!AGE!!20 to 24 years,71.0
Employment/Population Ratio!!Margin of Error!!AGE!!20 to 24 years,1.2
Employment/Population Ratio!!Estimate!!AGE!!25 to 29 years,79.6
Employment/Population Ratio!!Margin of Error!!AGE!!25 to 29 years,1.0
Employment/Population Ratio!!Estimate!!AGE!!30 to 34 years,79.1
Employment/Population Ratio!!Margin of Error!!AGE!!30 to 34 years,0.8
Employment/Population Ratio!!Estimate!!AGE!!35 to 44 years,80.3
Employment/Population Ratio!!Margin of Error!!AGE!!35 to 44 years,0.7
Employment/Population Ratio!!Estimate!!AGE!!45 to 54 years,79.7
Employment/Population Ratio!!Margin of Error!!AGE!!45 to 54 years,0.8
Employment/Population Ratio!!Estimate!!AGE!!55 to 59 years,73.0
Employment/Population Ratio!!Margin of Error!!AGE!!55 to 59 years,1.0
Employment/Population Ratio!!Estimate!!AGE!!60 to 64 years,58.9
Employment/Population Ratio!!Margin of Error!!AGE!!60 to 64 years,1.2
Employment/Population Ratio!!Estimate!!AGE!!65 to 74 years,24.7
Employment/Population Ratio!!Margin of Error!!AGE!!65 to 74 years,0.8
Employment/Population Ratio!!Estimate!!AGE!!75 years and over,5.7
Employment/Population Ratio!!Margin of Error!!AGE!!75 years and over,0.5
Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,58.8
Employment/Population Ratio!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,0.3
Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,63.3
Employment/Population Ratio!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,1.7
Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,59.0
Employment/Population Ratio!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,2.6
Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,68.6
Employment/Population Ratio!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,1.0
Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,64.7
Employment/Population Ratio!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,3.5
Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,66.4
Employment/Population Ratio!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,1.7
Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,65.5
Employment/Population Ratio!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,1.1
Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),66.7
Employment/Population Ratio!!Margin of Error!!Hispanic or Latino origin (of any race),1.1
"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",58.5
"Employment/Population Ratio!!Margin of Error!!White alone, not Hispanic or Latino",0.4
Employment/Population Ratio!!Estimate!!Population 20 to 64 years,76.1
Employment/Population Ratio!!Margin of Error!!Population 20 to 64 years,0.3
Employment/Population Ratio!!Estimate!!Population 20 to 64 years!!SEX!!Male,79.9
Employment/Population Ratio!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,0.4
Employment/Population Ratio!!Estimate!!Population 20 to 64 years!!SEX!!Female,72.1
Employment/Population Ratio!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,0.5
Employment/Population Ratio!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,69.5
Employment/Population Ratio!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,1.0
Employment/Population Ratio!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,64.9
Employment/Population Ratio!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,1.9
Employment/Population Ratio!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,59.2
Employment/Population Ratio!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,2.4
Employment/Population Ratio!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,74.7
Employment/Population Ratio!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,1.3
Employment/Population Ratio!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,36.6
