Label,Value
Total!!Estimate!!Population 16 years and over,4822901
Total!!Margin of Error!!Population 16 years and over,4233
Total!!Estimate!!AGE!!16 to 19 years,311157
Total!!Margin of Error!!AGE!!16 to 19 years,5596
Total!!Estimate!!AGE!!20 to 24 years,395528
Total!!Margin of Error!!AGE!!20 to 24 years,4119
Total!!Estimate!!AGE!!25 to 29 years,364729
Total!!Margin of Error!!AGE!!25 to 29 years,3411
Total!!Estimate!!AGE!!30 to 34 years,376995
Total!!Margin of Error!!AGE!!30 to 34 years,4065
Total!!Estimate!!AGE!!35 to 44 years,751404
Total!!Margin of Error!!AGE!!35 to 44 years,3685
Total!!Estimate!!AGE!!45 to 54 years,688521
Total!!Margin of Error!!AGE!!45 to 54 years,3602
Total!!Estimate!!AGE!!55 to 59 years,381987
Total!!Margin of Error!!AGE!!55 to 59 years,6196
Total!!Estimate!!AGE!!60 to 64 years,419185
Total!!Margin of Error!!AGE!!60 to 64 years,5766
Total!!Estimate!!AGE!!65 to 74 years,684685
Total!!Margin of Error!!AGE!!65 to 74 years,2461
Total!!Estimate!!AGE!!75 years and over,448710
Total!!Margin of Error!!AGE!!75 years and over,1874
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,3970498
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,8244
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,260307
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,4314
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,37512
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,2742
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,139200
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,2954
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,120409
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,8547
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,293120
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,10494
Total!!Estimate!!Hispanic or Latino origin (of any race),331003
Total!!Margin of Error!!Hispanic or Latino origin (of any race),2135
"Total!!Estimate!!White alone, not Hispanic or Latino",3907967
"Total!!Margin of Error!!White alone, not Hispanic or Latino",5675
Total!!Estimate!!Population 20 to 64 years,3378349
Total!!Margin of Error!!Population 20 to 64 years,4724
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,1710229
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,3767
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,1668120
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,3774
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,543070
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,9287
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,119876
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,5770
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,109553
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,5150
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,313641
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,7210
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,331260
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,10851
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,3001479
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,10840
Total!!Estimate!!DISABILITY STATUS!!With any disability,358489
Total!!Margin of Error!!DISABILITY STATUS!!With any disability,9659
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,2982821
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,4987
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,181306
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,7159
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),793400
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),14724
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,928458
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,14047
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,1079657
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,13343
Labor Force Participation Rate!!Estimate!!Population 16 years and over,65.2
Labor Force Participation Rate!!Margin of Error!!Population 16 years and over,0.3
Labor Force Participation Rate!!Estimate!!AGE!!16 to 19 years,53.2
Labor Force Participation Rate!!Margin of Error!!AGE!!16 to 19 years,1.5
Labor Force Participation Rate!!Estimate!!AGE!!20 to 24 years,82.5
Labor Force Participation Rate!!Margin of Error!!AGE!!20 to 24 years,1.1
Labor Force Participation Rate!!Estimate!!AGE!!25 to 29 years,88.7
Labor Force Participation Rate!!Margin of Error!!AGE!!25 to 29 years,0.8
Labor Force Participation Rate!!Estimate!!AGE!!30 to 34 years,87.1
Labor Force Participation Rate!!Margin of Error!!AGE!!30 to 34 years,1.0
Labor Force Participation Rate!!Estimate!!AGE!!35 to 44 years,87.6
Labor Force Participation Rate!!Margin of Error!!AGE!!35 to 44 years,0.6
Labor Force Participation Rate!!Estimate!!AGE!!45 to 54 years,86.3
Labor Force Participation Rate!!Margin of Error!!AGE!!45 to 54 years,0.6
Labor Force Participation Rate!!Estimate!!AGE!!55 to 59 years,78.7
Labor Force Participation Rate!!Margin of Error!!AGE!!55 to 59 years,0.8
Labor Force Participation Rate!!Estimate!!AGE!!60 to 64 years,60.9
Labor Force Participation Rate!!Margin of Error!!AGE!!60 to 64 years,0.9
Labor Force Participation Rate!!Estimate!!AGE!!65 to 74 years,24.4
Labor Force Participation Rate!!Margin of Error!!AGE!!65 to 74 years,0.7
Labor Force Participation Rate!!Estimate!!AGE!!75 years and over,6.2
Labor Force Participation Rate!!Margin of Error!!AGE!!75 years and over,0.5
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,64.6
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,0.3
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,62.1
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,1.8
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,60.9
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,4.5
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,71.9
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,2.2
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999.0
Annotation of Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999.0
Annotation of Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,70.7
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,2.4
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,72.1
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,1.4
Labor Force Participation Rate!!Estimate!!Hispanic or Latino origin (of any race),72.5
Labor Force Participation Rate!!Margin of Error!!Hispanic or Latino origin (of any race),1.3
"Labor Force Participation Rate!!Estimate!!White alone, not Hispanic or Latino",64.4
"Labor Force Participation Rate!!Margin of Error!!White alone, not Hispanic or Latino",0.3
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years,82.5
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years,0.3
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Male,85.1
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,0.4
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female,79.8
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,0.5
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,81.6
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,0.9
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,80.1
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,2.0
