Label,Value
Total!!Estimate!!Population 16 years and over,1464056
Total!!Margin of Error!!Population 16 years and over,2520
Total!!Estimate!!AGE!!16 to 19 years,92827
Total!!Margin of Error!!AGE!!16 to 19 years,3394
Total!!Estimate!!AGE!!20 to 24 years,112010
Total!!Margin of Error!!AGE!!20 to 24 years,2918
Total!!Estimate!!AGE!!25 to 29 years,98811
Total!!Margin of Error!!AGE!!25 to 29 years,2397
Total!!Estimate!!AGE!!30 to 34 years,107442
Total!!Margin of Error!!AGE!!30 to 34 years,2698
Total!!Estimate!!AGE!!35 to 44 years,213616
Total!!Margin of Error!!AGE!!35 to 44 years,3043
Total!!Estimate!!AGE!!45 to 54 years,222373
Total!!Margin of Error!!AGE!!45 to 54 years,2580
Total!!Estimate!!AGE!!55 to 59 years,115584
Total!!Margin of Error!!AGE!!55 to 59 years,3956
Total!!Estimate!!AGE!!60 to 64 years,121201
Total!!Margin of Error!!AGE!!60 to 64 years,4419
Total!!Estimate!!AGE!!65 to 74 years,225417
Total!!Margin of Error!!AGE!!65 to 74 years,1441
Total!!Estimate!!AGE!!75 years and over,154775
Total!!Margin of Error!!AGE!!75 years and over,1071
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,1329485
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,3486
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,48716
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,2990
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,61473
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,3998
Total!!Estimate!!Hispanic or Latino origin (of any race),28161
Total!!Margin of Error!!Hispanic or Latino origin (of any race),1915
"Total!!Estimate!!White alone, not Hispanic or Latino",1321132
"Total!!Margin of Error!!White alone, not Hispanic or Latino",3271
Total!!Estimate!!Population 20 to 64 years,991037
Total!!Margin of Error!!Population 20 to 64 years,3384
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,501772
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,2594
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,489265
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,3041
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,160286
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,6094
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,34257
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,3395
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,29362
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,3079
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,96667
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,5650
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,163138
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,6536
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,800844
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,7432
Total!!Estimate!!DISABILITY STATUS!!With any disability,166547
Total!!Margin of Error!!DISABILITY STATUS!!With any disability,7771
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,879027
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,3340
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,86043
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,5849
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),333772
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),9902
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,235571
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,7555
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,223641
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,7538
Labor Force Participation Rate!!Estimate!!Population 16 years and over,54.4
Labor Force Participation Rate!!Margin of Error!!Population 16 years and over,0.6
Labor Force Participation Rate!!Estimate!!AGE!!16 to 19 years,36.3
Labor Force Participation Rate!!Margin of Error!!AGE!!16 to 19 years,2.7
Labor Force Participation Rate!!Estimate!!AGE!!20 to 24 years,73.6
Labor Force Participation Rate!!Margin of Error!!AGE!!20 to 24 years,2.5
Labor Force Participation Rate!!Estimate!!AGE!!25 to 29 years,78.9
Labor Force Participation Rate!!Margin of Error!!AGE!!25 to 29 years,2.3
Labor Force Participation Rate!!Estimate!!AGE!!30 to 34 years,75.9
Labor Force Participation Rate!!Margin of Error!!AGE!!30 to 34 years,2.1
Labor Force Participation Rate!!Estimate!!AGE!!35 to 44 years,77.3
Labor Force Participation Rate!!Margin of Error!!AGE!!35 to 44 years,1.3
Labor Force Participation Rate!!Estimate!!AGE!!45 to 54 years,77.0
Labor Force Participation Rate!!Margin of Error!!AGE!!45 to 54 years,1.4
Labor Force Participation Rate!!Estimate!!AGE!!55 to 59 years,63.1
Labor Force Participation Rate!!Margin of Error!!AGE!!55 to 59 years,2.5
Labor Force Participation Rate!!Estimate!!AGE!!60 to 64 years,48.8
Labor Force Participation Rate!!Margin of Error!!AGE!!60 to 64 years,2.4
Labor Force Participation Rate!!Estimate!!AGE!!65 to 74 years,18.5
Labor Force Participation Rate!!Margin of Error!!AGE!!65 to 74 years,1.2
Labor Force Participation Rate!!Estimate!!AGE!!75 years and over,6.3
Labor Force Participation Rate!!Margin of Error!!AGE!!75 years and over,0.9
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,54.0
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,0.6
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,52.2
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,3.7
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,-999999999.0
