Label,Value
Total!!Estimate!!Population 16 years and over,469355
Total!!Margin of Error!!Population 16 years and over,1627
Total!!Estimate!!AGE!!16 to 19 years,30932
Total!!Margin of Error!!AGE!!16 to 19 years,2610
Total!!Estimate!!AGE!!20 to 24 years,34570
Total!!Margin of Error!!AGE!!20 to 24 years,1819
Total!!Estimate!!AGE!!25 to 29 years,36374
Total!!Margin of Error!!AGE!!25 to 29 years,2134
Total!!Estimate!!AGE!!30 to 34 years,40084
Total!!Margin of Error!!AGE!!30 to 34 years,1990
Total!!Estimate!!AGE!!35 to 44 years,82098
Total!!Margin of Error!!AGE!!35 to 44 years,2123
Total!!Estimate!!AGE!!45 to 54 years,61052
Total!!Margin of Error!!AGE!!45 to 54 years,2088
Total!!Estimate!!AGE!!55 to 59 years,31373
Total!!Margin of Error!!AGE!!55 to 59 years,2597
Total!!Estimate!!AGE!!60 to 64 years,40775
Total!!Margin of Error!!AGE!!60 to 64 years,2707
Total!!Estimate!!AGE!!65 to 74 years,70262
Total!!Margin of Error!!AGE!!65 to 74 years,1082
Total!!Estimate!!AGE!!75 years and over,41835
Total!!Margin of Error!!AGE!!75 years and over,1039
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,402154
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,2980
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,10468
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,1788
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999
Annotation of Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,14412
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,2195
Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,34109
Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,3368
Total!!Estimate!!Hispanic or Latino origin (of any race),43316
Total!!Margin of Error!!Hispanic or Latino origin (of any race),703
"Total!!Estimate!!White alone, not Hispanic or Latino",389936
"Total!!Margin of Error!!White alone, not Hispanic or Latino",2479
Total!!Estimate!!Population 20 to 64 years,326326
Total!!Margin of Error!!Population 20 to 64 years,2504
Total!!Estimate!!Population 20 to 64 years!!SEX!!Male,168223
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,1981
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female,158103
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,1940
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,59144
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,3496
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,11170
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only,1969
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,13631
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17 years,2226
Total!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,34343
Total!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 to 17 years only,2593
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,34480
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,3608
Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,285752
Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level,4667
Total!!Estimate!!DISABILITY STATUS!!With any disability,40288
Total!!Margin of Error!!DISABILITY STATUS!!With any disability,3739
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,291756
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,2591
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,17831
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,2417
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),77447
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),4412
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,108564
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,5167
Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,87914
Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher,5285
Labor Force Participation Rate!!Estimate!!Population 16 years and over,63.5
Labor Force Participation Rate!!Margin of Error!!Population 16 years and over,1.0
Labor Force Participation Rate!!Estimate!!AGE!!16 to 19 years,49.5
Labor Force Participation Rate!!Margin of Error!!AGE!!16 to 19 years,5.1
Labor Force Participation Rate!!Estimate!!AGE!!20 to 24 years,82.1
Labor Force Participation Rate!!Margin of Error!!AGE!!20 to 24 years,3.3
Labor Force Participation Rate!!Estimate!!AGE!!25 to 29 years,87.0
Labor Force Participation Rate!!Margin of Error!!AGE!!25 to 29 years,2.8
Labor Force Participation Rate!!Estimate!!AGE!!30 to 34 years,84.1
Labor Force Participation Rate!!Margin of Error!!AGE!!30 to 34 years,3.0
Labor Force Participation Rate!!Estimate!!AGE!!35 to 44 years,87.5
Labor Force Participation Rate!!Margin of Error!!AGE!!35 to 44 years,2.0
Labor Force Participation Rate!!Estimate!!AGE!!45 to 54 years,84.9
Labor Force Participation Rate!!Margin of Error!!AGE!!45 to 54 years,2.3
Labor Force Participation Rate!!Estimate!!AGE!!55 to 59 years,74.5
Labor Force Participation Rate!!Margin of Error!!AGE!!55 to 59 years,4.6
Labor Force Participation Rate!!Estimate!!AGE!!60 to 64 years,53.9
Labor Force Participation Rate!!Margin of Error!!AGE!!60 to 64 years,4.1
Labor Force Participation Rate!!Estimate!!AGE!!65 to 74 years,24.4
Labor Force Participation Rate!!Margin of Error!!AGE!!65 to 74 years,2.6
Labor Force Participation Rate!!Estimate!!AGE!!75 years and over,7.2
Labor Force Participation Rate!!Margin of Error!!AGE!!75 years and over,1.7
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,63.0
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,1.0
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,-999999999.0
Annotation of Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,N
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,-999999999.0
Annotation of Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,N
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,56.3
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,5.6
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,-999999999.0
Annotation of Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,N
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,-999999999.0
Annotation of Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,N
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999.0
Annotation of Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,-999999999.0
Annotation of Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,N
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,79.1
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,4.3
Labor Force Participation Rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,66.4
Labor Force Participation Rate!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,4.6
Labor Force Participation Rate!!Estimate!!Hispanic or Latino origin (of any race),71.5
Labor Force Participation Rate!!Margin of Error!!Hispanic or Latino origin (of any race),3.4
"Labor Force Participation Rate!!Estimate!!White alone, not Hispanic or Latino",62.8
"Labor Force Participation Rate!!Margin of Error!!White alone, not Hispanic or Latino",1.1
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years,80.5
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years,1.1
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Male,85.4
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Male,1.3
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female,75.3
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female,1.9
Labor Force Participation Rate!!Estimate!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,78.3
Labor Force Participation Rate!!Margin of Error!!Population 20 to 64 years!!SEX!!Female!!With own children under 18 years,3.5
