Label,Value
Total!!Estimate!!Civilian employed population 16 years and over,345460
Total!!Margin of Error!!Civilian employed population 16 years and over,5852
"Total!!Estimate!!Management, business, science, and arts occupations",142374
"Total!!Margin of Error!!Management, business, science, and arts occupations",5875
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",57218
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",3447
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",42264
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",3137
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",14954
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",2335
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",21134
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",2343
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",6814
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",1476
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",7912
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",1620
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",6408
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",1337
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",38056
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",3834
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",7779
