Label,Value
Total!!Estimate!!Civilian employed population 16 years and over,1375551
Total!!Margin of Error!!Civilian employed population 16 years and over,13040
"Total!!Estimate!!Management, business, science, and arts occupations",508707
"Total!!Margin of Error!!Management, business, science, and arts occupations",11599
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",211343
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",8389
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",141665
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",7203
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",69678
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",4786
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",56684
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",4094
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",30507
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",3029
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",18658
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",2581
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",7519
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",1284
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",144273
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",6056
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",22187
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",2191
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",9631
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",1665
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",89264
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",4935
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",23191
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",3317
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",96407
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",5194
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",66012
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",4263
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",30395
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",2898
Total!!Estimate!!Service occupations,212859
Total!!Margin of Error!!Service occupations,7585
Total!!Estimate!!Service occupations!!Healthcare support occupations,44275
Total!!Margin of Error!!Service occupations!!Healthcare support occupations,4051
Total!!Estimate!!Service occupations!!Protective service occupations,27430
Total!!Margin of Error!!Service occupations!!Protective service occupations,3378
"Total!!Estimate!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",14625
"Total!!Margin of Error!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",2174
Total!!Estimate!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,12805
Total!!Margin of Error!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,2360
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,65660
Total!!Margin of Error!!Service occupations!!Food preparation and serving related occupations,4954
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,49697
Total!!Margin of Error!!Service occupations!!Building and grounds cleaning and maintenance occupations,3635
Total!!Estimate!!Service occupations!!Personal care and service occupations,25797
Total!!Margin of Error!!Service occupations!!Personal care and service occupations,2689
Total!!Estimate!!Sales and office occupations,284915
Total!!Margin of Error!!Sales and office occupations,10017
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,130207
Total!!Margin of Error!!Sales and office occupations!!Sales and related occupations,6262
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,154708
Total!!Margin of Error!!Sales and office occupations!!Office and administrative support occupations,8289
"Total!!Estimate!!Natural resources, construction, and maintenance occupations",140683
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations",6125
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",10388
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",1824
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",74030
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",4579
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",56265
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",4087
"Total!!Estimate!!Production, transportation, and material moving occupations",228387
"Total!!Margin of Error!!Production, transportation, and material moving occupations",9445
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",109079
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Production occupations",6633
"Total!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",52218
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Transportation occupations",3310
"Total!!Estimate!!Production, transportation, and material moving occupations!!Material moving occupations",67090
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Material moving occupations",4835
Male!!Estimate!!Civilian employed population 16 years and over,720754
Male!!Margin of Error!!Civilian employed population 16 years and over,8854
"Male!!Estimate!!Management, business, science, and arts occupations",224494
"Male!!Margin of Error!!Management, business, science, and arts occupations",7338
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",114246
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",6096
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",83588
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",5655
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",30658
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",3242
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",42448
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",3213
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",22051
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",2534
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",16448
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",2404
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",3949
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",867
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",45480
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",3510
