Label,Value
Total!!Estimate!!Civilian employed population 16 years and over,3493543
Total!!Margin of Error!!Civilian employed population 16 years and over,21400
"Total!!Estimate!!Management, business, science, and arts occupations",1470298
"Total!!Margin of Error!!Management, business, science, and arts occupations",19383
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",630387
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",15505
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",402802
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",11338
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",227585
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",9152
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",252037
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",9837
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",129347
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",6689
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",94491
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",6989
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",28199
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",3246
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",358300
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",11892
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",58084
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",4563
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",34990
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",3514
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",193478
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",8657
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",71748
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",4889
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",229574
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",9026
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",158813
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",7204
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",70761
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",6176
Total!!Estimate!!Service occupations,588025
Total!!Margin of Error!!Service occupations,16681
Total!!Estimate!!Service occupations!!Healthcare support occupations,106674
Total!!Margin of Error!!Service occupations!!Healthcare support occupations,6677
Total!!Estimate!!Service occupations!!Protective service occupations,86554
Total!!Margin of Error!!Service occupations!!Protective service occupations,5792
"Total!!Estimate!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",47170
"Total!!Margin of Error!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",3325
Total!!Estimate!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,39384
Total!!Margin of Error!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,4036
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,187997
Total!!Margin of Error!!Service occupations!!Food preparation and serving related occupations,10813
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,119105
