Label,Value
Total!!Estimate!!Civilian employed population 16 years and over,19026566
Total!!Margin of Error!!Civilian employed population 16 years and over,48244
"Total!!Estimate!!Management, business, science, and arts occupations",8259042
"Total!!Margin of Error!!Management, business, science, and arts occupations",46299
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",3326713
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",29036
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",2192145
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",25176
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",1134568
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",17868
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",1637825
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",23068
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",834653
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",18483
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",511747
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",13483
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",291425
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",10369
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",2232818
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",25179
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",332073
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",10088
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",250938
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",8715
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",1083561
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",19326
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",566246
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",16025
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",1061686
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",16972
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",745604
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",13897
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",316082
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",8835
Total!!Estimate!!Service occupations,3382046
Total!!Margin of Error!!Service occupations,35228
Total!!Estimate!!Service occupations!!Healthcare support occupations,758926
Total!!Margin of Error!!Service occupations!!Healthcare support occupations,18468
Total!!Estimate!!Service occupations!!Protective service occupations,383365
Total!!Margin of Error!!Service occupations!!Protective service occupations,11860
"Total!!Estimate!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",241294
"Total!!Margin of Error!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",8331
Total!!Estimate!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,142071
Total!!Margin of Error!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,7252
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,1039473
Total!!Margin of Error!!Service occupations!!Food preparation and serving related occupations,22632
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,680286
Total!!Margin of Error!!Service occupations!!Building and grounds cleaning and maintenance occupations,16341
Total!!Estimate!!Service occupations!!Personal care and service occupations,519996
Total!!Margin of Error!!Service occupations!!Personal care and service occupations,12296
Total!!Estimate!!Sales and office occupations,3512116
Total!!Margin of Error!!Sales and office occupations,32736
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,1646139
Total!!Margin of Error!!Sales and office occupations!!Sales and related occupations,24488
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,1865977
Total!!Margin of Error!!Sales and office occupations!!Office and administrative support occupations,28184
"Total!!Estimate!!Natural resources, construction, and maintenance occupations",1617563
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations",23591
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",252109
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",10539
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",884579
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",16350
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",480875
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",13834
"Total!!Estimate!!Production, transportation, and material moving occupations",2255799
"Total!!Margin of Error!!Production, transportation, and material moving occupations",27693
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",838542
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Production occupations",17091
"Total!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",682460
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Transportation occupations",14946
