Label,Value
Total!!Estimate!!Civilian employed population 16 years and over,5346554
Total!!Margin of Error!!Civilian employed population 16 years and over,26394
"Total!!Estimate!!Management, business, science, and arts occupations",2260304
"Total!!Margin of Error!!Management, business, science, and arts occupations",26967
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",990277
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",17025
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",629930
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",13469
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",360347
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",12213
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",375711
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",11410
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",220867
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",8564
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",106552
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",6928
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",48292
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",4057
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",587005
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",16487
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",78487
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",5065
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",57083
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",4173
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",342178
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",12368
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",109257
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",6618
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",307311
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",10689
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",211506
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",8044
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",95805
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",6235
Total!!Estimate!!Service occupations,806409
Total!!Margin of Error!!Service occupations,16471
Total!!Estimate!!Service occupations!!Healthcare support occupations,120877
Total!!Margin of Error!!Service occupations!!Healthcare support occupations,7110
Total!!Estimate!!Service occupations!!Protective service occupations,104460
Total!!Margin of Error!!Service occupations!!Protective service occupations,6308
"Total!!Estimate!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",60034
"Total!!Margin of Error!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",4453
Total!!Estimate!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,44426
Total!!Margin of Error!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,4355
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,272982
Total!!Margin of Error!!Service occupations!!Food preparation and serving related occupations,11474
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,180177
Total!!Margin of Error!!Service occupations!!Building and grounds cleaning and maintenance occupations,9224
Total!!Estimate!!Service occupations!!Personal care and service occupations,127913
Total!!Margin of Error!!Service occupations!!Personal care and service occupations,6670
Total!!Estimate!!Sales and office occupations,1088710
Total!!Margin of Error!!Sales and office occupations,17695
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,519286
Total!!Margin of Error!!Sales and office occupations!!Sales and related occupations,12402
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,569424
Total!!Margin of Error!!Sales and office occupations!!Office and administrative support occupations,14146
"Total!!Estimate!!Natural resources, construction, and maintenance occupations",438385
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations",9996
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",17995
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",2940
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",245796
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",7707
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",174594
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",7550
"Total!!Estimate!!Production, transportation, and material moving occupations",752746
"Total!!Margin of Error!!Production, transportation, and material moving occupations",16524
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",283692
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Production occupations",8504
"Total!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",221214
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Transportation occupations",10874
"Total!!Estimate!!Production, transportation, and material moving occupations!!Material moving occupations",247840
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Material moving occupations",10714
Male!!Estimate!!Civilian employed population 16 years and over,2749925
Male!!Margin of Error!!Civilian employed population 16 years and over,16810
"Male!!Estimate!!Management, business, science, and arts occupations",1042457
"Male!!Margin of Error!!Management, business, science, and arts occupations",17448
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",521067
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",12708
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",362966
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",11133
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",158101
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",6480
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",270783
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",8852
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",159722
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",7317
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",86847
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",5675
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",24214
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",2687
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",181075
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",7729
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",24055
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",2457
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",24128
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",2370
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",80751
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",5499
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",52141
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",4128
"Male!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",69532
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",5043
"Male!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",48706
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",4521
"Male!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",20826
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",3191
Male!!Estimate!!Service occupations,353407
Male!!Margin of Error!!Service occupations,10678
Male!!Estimate!!Service occupations!!Healthcare support occupations,15125
Male!!Margin of Error!!Service occupations!!Healthcare support occupations,2480
Male!!Estimate!!Service occupations!!Protective service occupations,76631
Male!!Margin of Error!!Service occupations!!Protective service occupations,5143
"Male!!Estimate!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",43858
"Male!!Margin of Error!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",3825
Male!!Estimate!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,32773
Male!!Margin of Error!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,3518
Male!!Estimate!!Service occupations!!Food preparation and serving related occupations,120449
Male!!Margin of Error!!Service occupations!!Food preparation and serving related occupations,7754
Male!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,106762
Male!!Margin of Error!!Service occupations!!Building and grounds cleaning and maintenance occupations,7237
Male!!Estimate!!Service occupations!!Personal care and service occupations,34440
Male!!Margin of Error!!Service occupations!!Personal care and service occupations,4009
Male!!Estimate!!Sales and office occupations,393268
Male!!Margin of Error!!Sales and office occupations,11482
Male!!Estimate!!Sales and office occupations!!Sales and related occupations,258679
Male!!Margin of Error!!Sales and office occupations!!Sales and related occupations,9672
Male!!Estimate!!Sales and office occupations!!Office and administrative support occupations,134589
Male!!Margin of Error!!Sales and office occupations!!Office and administrative support occupations,7102
"Male!!Estimate!!Natural resources, construction, and maintenance occupations",412475
"Male!!Margin of Error!!Natural resources, construction, and maintenance occupations",9883
"Male!!Estimate!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",14803
"Male!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",2282
"Male!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",232452
"Male!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",7828
"Male!!Estimate!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",165220
"Male!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",7548
"Male!!Estimate!!Production, transportation, and material moving occupations",548318
"Male!!Margin of Error!!Production, transportation, and material moving occupations",14004
"Male!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",187417
"Male!!Margin of Error!!Production, transportation, and material moving occupations!!Production occupations",6784
"Male!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",178571
"Male!!Margin of Error!!Production, transportation, and material moving occupations!!Transportation occupations",8645
"Male!!Estimate!!Production, transportation, and material moving occupations!!Material moving occupations",182330
"Male!!Margin of Error!!Production, transportation, and material moving occupations!!Material moving occupations",8578
Percent Male!!Estimate!!Civilian employed population 16 years and over,51.4
Percent Male!!Margin of Error!!Civilian employed population 16 years and over,0.3
"Percent Male!!Estimate!!Management, business, science, and arts occupations",46.1
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations",0.5
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",52.6
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",1.0
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",57.6
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",1.4
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",43.9
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",1.4
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",72.1
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",1.4
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",72.3
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",1.7
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",81.5
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",2.0
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",50.1
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",4.2
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",30.8
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",1.0
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",30.6
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",2.8
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",42.3
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",3.6
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",23.6
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",1.3
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",47.7
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",2.6
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",22.6
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",1.4
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",23.0
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",1.9
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",21.7
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",2.9
Percent Male!!Estimate!!Service occupations,43.8
Percent Male!!Margin of Error!!Service occupations,1.0
Percent Male!!Estimate!!Service occupations!!Healthcare support occupations,12.5
Percent Male!!Margin of Error!!Service occupations!!Healthcare support occupations,1.8
Percent Male!!Estimate!!Service occupations!!Protective service occupations,73.4
Percent Male!!Margin of Error!!Service occupations!!Protective service occupations,2.4
"Percent Male!!Estimate!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",73.1
"Percent Male!!Margin of Error!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",3.2
Percent Male!!Estimate!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,73.8
Percent Male!!Margin of Error!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,4.1
Percent Male!!Estimate!!Service occupations!!Food preparation and serving related occupations,44.1
Percent Male!!Margin of Error!!Service occupations!!Food preparation and serving related occupations,1.9
Percent Male!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,59.3
Percent Male!!Margin of Error!!Service occupations!!Building and grounds cleaning and maintenance occupations,2.3
Percent Male!!Estimate!!Service occupations!!Personal care and service occupations,26.9
Percent Male!!Margin of Error!!Service occupations!!Personal care and service occupations,2.6
Percent Male!!Estimate!!Sales and office occupations,36.1
Percent Male!!Margin of Error!!Sales and office occupations,0.8
Percent Male!!Estimate!!Sales and office occupations!!Sales and related occupations,49.8
Percent Male!!Margin of Error!!Sales and office occupations!!Sales and related occupations,1.4
Percent Male!!Estimate!!Sales and office occupations!!Office and administrative support occupations,23.6
Percent Male!!Margin of Error!!Sales and office occupations!!Office and administrative support occupations,1.0
"Percent Male!!Estimate!!Natural resources, construction, and maintenance occupations",94.1
"Percent Male!!Margin of Error!!Natural resources, construction, and maintenance occupations",0.6
"Percent Male!!Estimate!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",82.3
"Percent Male!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",5.3
"Percent Male!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",94.6
"Percent Male!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",0.8
"Percent Male!!Estimate!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",94.6
"Percent Male!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",0.9
"Percent Male!!Estimate!!Production, transportation, and material moving occupations",72.8
