Label,Value
Total!!Estimate!!Civilian employed population 16 years and over,1654280
Total!!Margin of Error!!Civilian employed population 16 years and over,12938
"Total!!Estimate!!Management, business, science, and arts occupations",657528
"Total!!Margin of Error!!Management, business, science, and arts occupations",11613
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",277275
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",8182
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",183946
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",7620
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",93329
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",4764
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",100712
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",5229
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",49639
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",3630
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",34640
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",2776
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",16433
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",2014
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",176297
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",7600
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",30858
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",3368
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",10469
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",1487
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",109539
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",6363
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",25431
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",2610
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",103244
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",5174
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",74197
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",4217
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",29047
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",2842
Total!!Estimate!!Service occupations,250304
Total!!Margin of Error!!Service occupations,8100
Total!!Estimate!!Service occupations!!Healthcare support occupations,47457
Total!!Margin of Error!!Service occupations!!Healthcare support occupations,3733
Total!!Estimate!!Service occupations!!Protective service occupations,23931
Total!!Margin of Error!!Service occupations!!Protective service occupations,2610
"Total!!Estimate!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",13437
"Total!!Margin of Error!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",2025
Total!!Estimate!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,10494
Total!!Margin of Error!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,1781
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,85098
Total!!Margin of Error!!Service occupations!!Food preparation and serving related occupations,5298
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,51617
Total!!Margin of Error!!Service occupations!!Building and grounds cleaning and maintenance occupations,4392
Total!!Estimate!!Service occupations!!Personal care and service occupations,42201
Total!!Margin of Error!!Service occupations!!Personal care and service occupations,3127
Total!!Estimate!!Sales and office occupations,309676
Total!!Margin of Error!!Sales and office occupations,8822
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,143748
Total!!Margin of Error!!Sales and office occupations!!Sales and related occupations,6852
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,165928
Total!!Margin of Error!!Sales and office occupations!!Office and administrative support occupations,6641
"Total!!Estimate!!Natural resources, construction, and maintenance occupations",167185
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations",6245
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",15020
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",1818
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",88399
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",4863
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",63766
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",3885
"Total!!Estimate!!Production, transportation, and material moving occupations",269587
"Total!!Margin of Error!!Production, transportation, and material moving occupations",7523
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",132188
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Production occupations",5793
"Total!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",60575
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Transportation occupations",3884
"Total!!Estimate!!Production, transportation, and material moving occupations!!Material moving occupations",76824
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Material moving occupations",4515
Male!!Estimate!!Civilian employed population 16 years and over,864048
Male!!Margin of Error!!Civilian employed population 16 years and over,9391
"Male!!Estimate!!Management, business, science, and arts occupations",298558
"Male!!Margin of Error!!Management, business, science, and arts occupations",7850
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",148612
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",5418
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",110726
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",4719
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",37886
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",3371
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",76667
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",4639
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",37154
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",3081
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",29468
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",2538
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",10045
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",1585
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",52625
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",3948
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",9988
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",1692
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",4227
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",914
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",26906
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",3135
