Label,Value
Total!!Estimate!!Civilian employed population 16 years and over,936279
Total!!Margin of Error!!Civilian employed population 16 years and over,8650
"Total!!Estimate!!Management, business, science, and arts occupations",371737
"Total!!Margin of Error!!Management, business, science, and arts occupations",8721
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",157160
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",5613
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",107705
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",4927
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",49455
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",3661
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",57523
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",3973
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",25943
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",2550
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",23226
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",2745
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",8354
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",1389
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",101357
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",5371
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",18882
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",2115
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",7174
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",1338
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",57106
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",4152
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",18195
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",2151
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",55697
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",4435
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",39677
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",3640
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",16020
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",2195
Total!!Estimate!!Service occupations,152780
Total!!Margin of Error!!Service occupations,6651
Total!!Estimate!!Service occupations!!Healthcare support occupations,32998
Total!!Margin of Error!!Service occupations!!Healthcare support occupations,2737
Total!!Estimate!!Service occupations!!Protective service occupations,15083
Total!!Margin of Error!!Service occupations!!Protective service occupations,2346
"Total!!Estimate!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",7898
"Total!!Margin of Error!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",1700
Total!!Estimate!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,7185
Total!!Margin of Error!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,1604
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,50448
Total!!Margin of Error!!Service occupations!!Food preparation and serving related occupations,3887
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,30991
Total!!Margin of Error!!Service occupations!!Building and grounds cleaning and maintenance occupations,3034
Total!!Estimate!!Service occupations!!Personal care and service occupations,23260
Total!!Margin of Error!!Service occupations!!Personal care and service occupations,2910
Total!!Estimate!!Sales and office occupations,181420
Total!!Margin of Error!!Sales and office occupations,7274
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,84358
Total!!Margin of Error!!Sales and office occupations!!Sales and related occupations,4670
