Label,Value
Total!!Estimate!!Civilian employed population 16 years and over,6329130
Total!!Margin of Error!!Civilian employed population 16 years and over,24465
"Total!!Estimate!!Management, business, science, and arts occupations",2771785
"Total!!Margin of Error!!Management, business, science, and arts occupations",28148
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",1196328
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",19408
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",747837
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",13978
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",448491
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",12805
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",444907
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",12834
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",257053
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",9033
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",120515
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",6776
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",67339
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",4493
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",733573
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",15034
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",112947
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",6144
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",84715
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",5397
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",414116
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",10226
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",121795
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",6679
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",396977
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",11380
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",294681
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",9970
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",102296
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",5634
Total!!Estimate!!Service occupations,990789
Total!!Margin of Error!!Service occupations,19915
Total!!Estimate!!Service occupations!!Healthcare support occupations,215107
Total!!Margin of Error!!Service occupations!!Healthcare support occupations,10046
Total!!Estimate!!Service occupations!!Protective service occupations,135728
Total!!Margin of Error!!Service occupations!!Protective service occupations,7601
"Total!!Estimate!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",74471
"Total!!Margin of Error!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",5451
Total!!Estimate!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,61257
Total!!Margin of Error!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,5224
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,312620
Total!!Margin of Error!!Service occupations!!Food preparation and serving related occupations,12010
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,173059
Total!!Margin of Error!!Service occupations!!Building and grounds cleaning and maintenance occupations,9086
Total!!Estimate!!Service occupations!!Personal care and service occupations,154275
Total!!Margin of Error!!Service occupations!!Personal care and service occupations,7300
Total!!Estimate!!Sales and office occupations,1206824
Total!!Margin of Error!!Sales and office occupations,18952
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,560661
Total!!Margin of Error!!Sales and office occupations!!Sales and related occupations,14801
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,646163
Total!!Margin of Error!!Sales and office occupations!!Office and administrative support occupations,14387
"Total!!Estimate!!Natural resources, construction, and maintenance occupations",430906
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations",11202
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",17804
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",1927
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",234933
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",8372
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",178169
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",7816
"Total!!Estimate!!Production, transportation, and material moving occupations",928826
"Total!!Margin of Error!!Production, transportation, and material moving occupations",19256
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",373787
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Production occupations",11099
"Total!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",262473
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Transportation occupations",10752
"Total!!Estimate!!Production, transportation, and material moving occupations!!Material moving occupations",292566
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Material moving occupations",11861
Male!!Estimate!!Civilian employed population 16 years and over,3293917
Male!!Margin of Error!!Civilian employed population 16 years and over,15961
"Male!!Estimate!!Management, business, science, and arts occupations",1292003
"Male!!Margin of Error!!Management, business, science, and arts occupations",16996
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",638372
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",11101
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",426651
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",8662
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",211721
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",8330
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",320362
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",9978
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",187936
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",6691
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",99949
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",5937
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",32477
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",3149
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",247534
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",8568
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",37031
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",3611
