Label,Value
Total!!Estimate!!Civilian employed population 16 years and over,2085354
Total!!Margin of Error!!Civilian employed population 16 years and over,13778
"Total!!Estimate!!Management, business, science, and arts occupations",810980
"Total!!Margin of Error!!Management, business, science, and arts occupations",14415
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",319866
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",8925
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",218370
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",7130
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",101496
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",6556
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",104493
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",5283
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",47376
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",3243
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",39626
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",3361
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",17491
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",2193
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",222708
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",7799
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",44103
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",3837
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",21421
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",2696
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",123923
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",5805
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",33261
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",3113
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",163913
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",6621
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",113916
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",5536
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",49997
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",3523
Total!!Estimate!!Service occupations,320106
Total!!Margin of Error!!Service occupations,9895
Total!!Estimate!!Service occupations!!Healthcare support occupations,63613
Total!!Margin of Error!!Service occupations!!Healthcare support occupations,4468
Total!!Estimate!!Service occupations!!Protective service occupations,38967
Total!!Margin of Error!!Service occupations!!Protective service occupations,4235
"Total!!Estimate!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",20204
"Total!!Margin of Error!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",3000
Total!!Estimate!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,18763
Total!!Margin of Error!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,2418
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,109309
Total!!Margin of Error!!Service occupations!!Food preparation and serving related occupations,6178
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,65676
Total!!Margin of Error!!Service occupations!!Building and grounds cleaning and maintenance occupations,4798
Total!!Estimate!!Service occupations!!Personal care and service occupations,42541
Total!!Margin of Error!!Service occupations!!Personal care and service occupations,3132
Total!!Estimate!!Sales and office occupations,407565
Total!!Margin of Error!!Sales and office occupations,8881
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,174141
Total!!Margin of Error!!Sales and office occupations!!Sales and related occupations,6061
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,233424
Total!!Margin of Error!!Sales and office occupations!!Office and administrative support occupations,7680
"Total!!Estimate!!Natural resources, construction, and maintenance occupations",181365
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations",8241
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",8662
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",1980
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",97056
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",6093
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",75647
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",5023
"Total!!Estimate!!Production, transportation, and material moving occupations",365338
"Total!!Margin of Error!!Production, transportation, and material moving occupations",10351
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",175192
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Production occupations",7627
"Total!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",83083
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Transportation occupations",4523
"Total!!Estimate!!Production, transportation, and material moving occupations!!Material moving occupations",107063
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Material moving occupations",5989
Male!!Estimate!!Civilian employed population 16 years and over,1093329
Male!!Margin of Error!!Civilian employed population 16 years and over,11260
"Male!!Estimate!!Management, business, science, and arts occupations",359494
"Male!!Margin of Error!!Management, business, science, and arts occupations",8976
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",173049
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",6902
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",126853
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",5140
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",46196
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",4488
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",76784
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",4899
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",32944
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",2592
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",33999
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",3405
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",9841
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",1786
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",71770
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",4297
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",13715
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",1761
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",9725
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",1767
