Label,Value
Total!!Estimate!!Civilian employed population 16 years and over,3194028
Total!!Margin of Error!!Civilian employed population 16 years and over,19430
"Total!!Estimate!!Management, business, science, and arts occupations",1617915
"Total!!Margin of Error!!Management, business, science, and arts occupations",23016
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",656857
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",13421
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",413876
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",10899
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",242981
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",8864
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",361025
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",10960
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",207377
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",7515
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",74474
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",5641
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",79174
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",4803
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",406248
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",11398
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",64423
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",4941
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",52504
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",3649
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",215820
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",9240
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",73501
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",4990
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",193785
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",9553
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",139133
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",7793
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",54652
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",4503
Total!!Estimate!!Service occupations,509844
Total!!Margin of Error!!Service occupations,13774
Total!!Estimate!!Service occupations!!Healthcare support occupations,84825
Total!!Margin of Error!!Service occupations!!Healthcare support occupations,6289
Total!!Estimate!!Service occupations!!Protective service occupations,87266
Total!!Margin of Error!!Service occupations!!Protective service occupations,6927
"Total!!Estimate!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",49444
"Total!!Margin of Error!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",5813
Total!!Estimate!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,37822
Total!!Margin of Error!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,3846
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,148574
Total!!Margin of Error!!Service occupations!!Food preparation and serving related occupations,9699
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,101300
Total!!Margin of Error!!Service occupations!!Building and grounds cleaning and maintenance occupations,6657
Total!!Estimate!!Service occupations!!Personal care and service occupations,87879
Total!!Margin of Error!!Service occupations!!Personal care and service occupations,6050
Total!!Estimate!!Sales and office occupations,548686
Total!!Margin of Error!!Sales and office occupations,14054
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,244215
Total!!Margin of Error!!Sales and office occupations!!Sales and related occupations,9497
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,304471
Total!!Margin of Error!!Sales and office occupations!!Office and administrative support occupations,10373
"Total!!Estimate!!Natural resources, construction, and maintenance occupations",240592
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations",9911
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",5630
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",1053
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",145794
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",7741
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",89168
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",5996
"Total!!Estimate!!Production, transportation, and material moving occupations",276991
"Total!!Margin of Error!!Production, transportation, and material moving occupations",8952
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",80974
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Production occupations",5239
"Total!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",107995
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Transportation occupations",6676
"Total!!Estimate!!Production, transportation, and material moving occupations!!Material moving occupations",88022
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Material moving occupations",5824
Male!!Estimate!!Civilian employed population 16 years and over,1615907
Male!!Margin of Error!!Civilian employed population 16 years and over,12313
"Male!!Estimate!!Management, business, science, and arts occupations",756381
"Male!!Margin of Error!!Management, business, science, and arts occupations",14137
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",320055
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",9449
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",210941
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",7682
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",109114
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",5477
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",247584
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",8709
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",145566
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",5810
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",61006
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",5000
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",41012
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",3738
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",141301
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",6022
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",20373
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",2580
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",24631
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",2604
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",58993
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",4277
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",37304
