Label,Value
Total!!Estimate!!Civilian employed population 16 years and over,708660
Total!!Margin of Error!!Civilian employed population 16 years and over,7771
"Total!!Estimate!!Management, business, science, and arts occupations",304411
"Total!!Margin of Error!!Management, business, science, and arts occupations",7940
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",126166
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",6419
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",87971
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",5437
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",38195
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",3424
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",42465
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",2811
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",20896
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",2527
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",14108
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",2139
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",7461
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",1110
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",85703
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",4163
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",14006
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",1676
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",7732
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",1786
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",49562
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",3556
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",14403
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",1932
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",50077
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",3851
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",38364
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",3646
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",11713
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",1689
Total!!Estimate!!Service occupations,115154
Total!!Margin of Error!!Service occupations,5419
Total!!Estimate!!Service occupations!!Healthcare support occupations,24444
Total!!Margin of Error!!Service occupations!!Healthcare support occupations,2678
Total!!Estimate!!Service occupations!!Protective service occupations,12179
Total!!Margin of Error!!Service occupations!!Protective service occupations,2236
"Total!!Estimate!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",5012
"Total!!Margin of Error!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",1071
Total!!Estimate!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,7167
Total!!Margin of Error!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,1943
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,36906
Total!!Margin of Error!!Service occupations!!Food preparation and serving related occupations,3350
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,24877
Total!!Margin of Error!!Service occupations!!Building and grounds cleaning and maintenance occupations,2345
Total!!Estimate!!Service occupations!!Personal care and service occupations,16748
Total!!Margin of Error!!Service occupations!!Personal care and service occupations,1973
Total!!Estimate!!Sales and office occupations,135663
Total!!Margin of Error!!Sales and office occupations,5475
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,64000
Total!!Margin of Error!!Sales and office occupations!!Sales and related occupations,4432
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,71663
Total!!Margin of Error!!Sales and office occupations!!Office and administrative support occupations,4047
"Total!!Estimate!!Natural resources, construction, and maintenance occupations",67618
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations",4043
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",9222
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",1439
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",36184
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",3188
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",22212
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",2649
"Total!!Estimate!!Production, transportation, and material moving occupations",85814
"Total!!Margin of Error!!Production, transportation, and material moving occupations",4483
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",39401
