Label,Value
Total!!Estimate!!Civilian employed population 16 years and over,3048320
Total!!Margin of Error!!Civilian employed population 16 years and over,11928
"Total!!Estimate!!Management, business, science, and arts occupations",1394150
"Total!!Margin of Error!!Management, business, science, and arts occupations",15370
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",582627
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",11832
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",377794
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",9102
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",204833
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",7299
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",245018
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",8188
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",121545
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",6286
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",81428
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",3912
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",42045
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",3362
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",351653
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",10164
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",66821
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",4481
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",29840
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",2570
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",190584
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",6522
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",64408
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",4569
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",214852
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",6478
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",152932
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",6018
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",61920
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",3479
Total!!Estimate!!Service occupations,459634
Total!!Margin of Error!!Service occupations,11994
Total!!Estimate!!Service occupations!!Healthcare support occupations,117077
Total!!Margin of Error!!Service occupations!!Healthcare support occupations,5573
Total!!Estimate!!Service occupations!!Protective service occupations,43084
Total!!Margin of Error!!Service occupations!!Protective service occupations,3340
"Total!!Estimate!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",23119
"Total!!Margin of Error!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",2537
Total!!Estimate!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,19965
Total!!Margin of Error!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,2405
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,147335
Total!!Margin of Error!!Service occupations!!Food preparation and serving related occupations,7459
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,80533
Total!!Margin of Error!!Service occupations!!Building and grounds cleaning and maintenance occupations,4452
Total!!Estimate!!Service occupations!!Personal care and service occupations,71605
Total!!Margin of Error!!Service occupations!!Personal care and service occupations,4169
Total!!Estimate!!Sales and office occupations,542232
Total!!Margin of Error!!Sales and office occupations,10242
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,251401
