Label,Value
Total!!Estimate!!Civilian employed population 16 years and over,410066
Total!!Margin of Error!!Civilian employed population 16 years and over,6033
"Total!!Estimate!!Management, business, science, and arts occupations",174165
"Total!!Margin of Error!!Management, business, science, and arts occupations",6208
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",73238
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",4232
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",51234
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",3461
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",22004
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",2335
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",26253
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",2903
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",9835
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",1554
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",10634
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",1920
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",5784
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",1323
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",46961
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",3780
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",8228
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",1653
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",3088
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",792
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",29850
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",3130
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",5795
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",1353
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",27713
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",2648
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",20819
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",2318
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",6894
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",1608
Total!!Estimate!!Service occupations,63199
Total!!Margin of Error!!Service occupations,4391
Total!!Estimate!!Service occupations!!Healthcare support occupations,13310
Total!!Margin of Error!!Service occupations!!Healthcare support occupations,2152
Total!!Estimate!!Service occupations!!Protective service occupations,6670
Total!!Margin of Error!!Service occupations!!Protective service occupations,1587
"Total!!Estimate!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",3311
"Total!!Margin of Error!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",1294
Total!!Estimate!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,3359
Total!!Margin of Error!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,958
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,19224
Total!!Margin of Error!!Service occupations!!Food preparation and serving related occupations,2022
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,13717
Total!!Margin of Error!!Service occupations!!Building and grounds cleaning and maintenance occupations,2078
Total!!Estimate!!Service occupations!!Personal care and service occupations,10278
Total!!Margin of Error!!Service occupations!!Personal care and service occupations,1693
Total!!Estimate!!Sales and office occupations,77010
Total!!Margin of Error!!Sales and office occupations,4398
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,34246
Total!!Margin of Error!!Sales and office occupations!!Sales and related occupations,3534
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,42764
Total!!Margin of Error!!Sales and office occupations!!Office and administrative support occupations,3385
"Total!!Estimate!!Natural resources, construction, and maintenance occupations",41127
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations",3367
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",5072
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",1148
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",20941
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",2468
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",15114
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",1575
"Total!!Estimate!!Production, transportation, and material moving occupations",54565
"Total!!Margin of Error!!Production, transportation, and material moving occupations",4062
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",21646
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Production occupations",2863
"Total!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",17757
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Transportation occupations",2068
