Label,Value
Total!!Estimate!!Civilian employed population 16 years and over,4785505
Total!!Margin of Error!!Civilian employed population 16 years and over,20379
"Total!!Estimate!!Management, business, science, and arts occupations",2267396
"Total!!Margin of Error!!Management, business, science, and arts occupations",21409
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",971761
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",15945
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",620163
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",13403
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",351598
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",10579
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",387113
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",10916
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",233126
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",8538
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",90191
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",5002
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",63796
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",4764
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",611034
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",14350
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",85380
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",5294
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",69532
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",4774
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",339468
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",10620
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",116654
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",6521
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",297488
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",10866
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",219613
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",8567
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",77875
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",5604
Total!!Estimate!!Service occupations,742492
Total!!Margin of Error!!Service occupations,15957
Total!!Estimate!!Service occupations!!Healthcare support occupations,133171
Total!!Margin of Error!!Service occupations!!Healthcare support occupations,7358
Total!!Estimate!!Service occupations!!Protective service occupations,113578
Total!!Margin of Error!!Service occupations!!Protective service occupations,6993
"Total!!Estimate!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",61571
"Total!!Margin of Error!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",5854
Total!!Estimate!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,52007
Total!!Margin of Error!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,4595
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,211311
Total!!Margin of Error!!Service occupations!!Food preparation and serving related occupations,8905
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,152986
Total!!Margin of Error!!Service occupations!!Building and grounds cleaning and maintenance occupations,8744
Total!!Estimate!!Service occupations!!Personal care and service occupations,131446
Total!!Margin of Error!!Service occupations!!Personal care and service occupations,7540
Total!!Estimate!!Sales and office occupations,908958
Total!!Margin of Error!!Sales and office occupations,17623
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,408594
Total!!Margin of Error!!Sales and office occupations!!Sales and related occupations,12112
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,500364
Total!!Margin of Error!!Sales and office occupations!!Office and administrative support occupations,12469
"Total!!Estimate!!Natural resources, construction, and maintenance occupations",331562
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations",11284
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",8594
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",1992
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",207163
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",9182
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",115805
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",6502
"Total!!Estimate!!Production, transportation, and material moving occupations",535097
"Total!!Margin of Error!!Production, transportation, and material moving occupations",14453
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",175249
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Production occupations",8177
"Total!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",182127
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Transportation occupations",8422
"Total!!Estimate!!Production, transportation, and material moving occupations!!Material moving occupations",177721
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Material moving occupations",9507
Male!!Estimate!!Civilian employed population 16 years and over,2507630
Male!!Margin of Error!!Civilian employed population 16 years and over,12996
"Male!!Estimate!!Management, business, science, and arts occupations",1101085
"Male!!Margin of Error!!Management, business, science, and arts occupations",15517
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",533744
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",12128
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",352617
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",9322
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",181127
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",7269
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",282478
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",9647
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",175121
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",7051
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",75032
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",4275
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",32325
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",3911
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",204746
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",8382
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",28212
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",3187
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",32944
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",3168
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",88236
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",4433
"Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",55354
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",4252
"Male!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",80117
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",5068
"Male!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",56588
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",4194
"Male!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",23529
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",2756
Male!!Estimate!!Service occupations,341169
Male!!Margin of Error!!Service occupations,10503
Male!!Estimate!!Service occupations!!Healthcare support occupations,20876
Male!!Margin of Error!!Service occupations!!Healthcare support occupations,2746
Male!!Estimate!!Service occupations!!Protective service occupations,88660
Male!!Margin of Error!!Service occupations!!Protective service occupations,5501
"Male!!Estimate!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",43116
"Male!!Margin of Error!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",4405
Male!!Estimate!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,45544
Male!!Margin of Error!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,4031
Male!!Estimate!!Service occupations!!Food preparation and serving related occupations,101015
Male!!Margin of Error!!Service occupations!!Food preparation and serving related occupations,5813
Male!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,92188
Male!!Margin of Error!!Service occupations!!Building and grounds cleaning and maintenance occupations,6556
Male!!Estimate!!Service occupations!!Personal care and service occupations,38430
Male!!Margin of Error!!Service occupations!!Personal care and service occupations,4265
Male!!Estimate!!Sales and office occupations,359665
Male!!Margin of Error!!Sales and office occupations,11115
Male!!Estimate!!Sales and office occupations!!Sales and related occupations,218090
Male!!Margin of Error!!Sales and office occupations!!Sales and related occupations,8580
Male!!Estimate!!Sales and office occupations!!Office and administrative support occupations,141575
Male!!Margin of Error!!Sales and office occupations!!Office and administrative support occupations,7110
"Male!!Estimate!!Natural resources, construction, and maintenance occupations",316123
"Male!!Margin of Error!!Natural resources, construction, and maintenance occupations",10995
"Male!!Estimate!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",5544
"Male!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",1530
"Male!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",198302
"Male!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",9063
"Male!!Estimate!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",112277
"Male!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",6471
"Male!!Estimate!!Production, transportation, and material moving occupations",389588
"Male!!Margin of Error!!Production, transportation, and material moving occupations",11601
"Male!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",111607
"Male!!Margin of Error!!Production, transportation, and material moving occupations!!Production occupations",6404
"Male!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",152850
"Male!!Margin of Error!!Production, transportation, and material moving occupations!!Transportation occupations",7667
"Male!!Estimate!!Production, transportation, and material moving occupations!!Material moving occupations",125131
"Male!!Margin of Error!!Production, transportation, and material moving occupations!!Material moving occupations",8286
Percent Male!!Estimate!!Civilian employed population 16 years and over,52.4
Percent Male!!Margin of Error!!Civilian employed population 16 years and over,0.2
"Percent Male!!Estimate!!Management, business, science, and arts occupations",48.6
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations",0.5
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",54.9
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",0.8
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",56.9
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",1.0
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",51.5
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",1.4
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",73.0
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",1.1
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",75.1
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",1.7
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",83.2
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",1.9
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",50.7
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",3.8
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",33.5
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",1.1
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",33.0
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",3.1
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",47.4
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",3.3
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",26.0
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",1.1
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",47.5
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",2.3
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",26.9
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",1.3
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",25.8
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",1.6
"Percent Male!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",30.2
"Percent Male!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",2.7
Percent Male!!Estimate!!Service occupations,45.9
Percent Male!!Margin of Error!!Service occupations,1.1
Percent Male!!Estimate!!Service occupations!!Healthcare support occupations,15.7
Percent Male!!Margin of Error!!Service occupations!!Healthcare support occupations,1.9
Percent Male!!Estimate!!Service occupations!!Protective service occupations,78.1
Percent Male!!Margin of Error!!Service occupations!!Protective service occupations,2.7
"Percent Male!!Estimate!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",70.0
"Percent Male!!Margin of Error!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",4.1
Percent Male!!Estimate!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,87.6
Percent Male!!Margin of Error!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,2.6
Percent Male!!Estimate!!Service occupations!!Food preparation and serving related occupations,47.8
Percent Male!!Margin of Error!!Service occupations!!Food preparation and serving related occupations,1.8
Percent Male!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,60.3
Percent Male!!Margin of Error!!Service occupations!!Building and grounds cleaning and maintenance occupations,2.6
Percent Male!!Estimate!!Service occupations!!Personal care and service occupations,29.2
Percent Male!!Margin of Error!!Service occupations!!Personal care and service occupations,2.3
Percent Male!!Estimate!!Sales and office occupations,39.6
Percent Male!!Margin of Error!!Sales and office occupations,0.8
Percent Male!!Estimate!!Sales and office occupations!!Sales and related occupations,53.4
Percent Male!!Margin of Error!!Sales and office occupations!!Sales and related occupations,1.4
Percent Male!!Estimate!!Sales and office occupations!!Office and administrative support occupations,28.3
Percent Male!!Margin of Error!!Sales and office occupations!!Office and administrative support occupations,1.1
"Percent Male!!Estimate!!Natural resources, construction, and maintenance occupations",95.3
"Percent Male!!Margin of Error!!Natural resources, construction, and maintenance occupations",0.7
"Percent Male!!Estimate!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",64.5
"Percent Male!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",9.7
"Percent Male!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",95.7
"Percent Male!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",1.0
"Percent Male!!Estimate!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",97.0
"Percent Male!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",1.0
"Percent Male!!Estimate!!Production, transportation, and material moving occupations",72.8
"Percent Male!!Margin of Error!!Production, transportation, and material moving occupations",1.2
"Percent Male!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",63.7
"Percent Male!!Margin of Error!!Production, transportation, and material moving occupations!!Production occupations",2.3
"Percent Male!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",83.9
"Percent Male!!Margin of Error!!Production, transportation, and material moving occupations!!Transportation occupations",1.7
"Percent Male!!Estimate!!Production, transportation, and material moving occupations!!Material moving occupations",70.4
"Percent Male!!Margin of Error!!Production, transportation, and material moving occupations!!Material moving occupations",2.3
Female!!Estimate!!Civilian employed population 16 years and over,2277875
Female!!Margin of Error!!Civilian employed population 16 years and over,15714
"Female!!Estimate!!Management, business, science, and arts occupations",1166311
"Female!!Margin of Error!!Management, business, science, and arts occupations",15174
"Female!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",438017
"Female!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",10764
"Female!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",267546
"Female!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",9042
"Female!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",170471
"Female!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",7387
"Female!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",104635
"Female!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",4806
"Female!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",58005
"Female!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",4706
"Female!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",15159
"Female!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",2019
"Female!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",31471
"Female!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",2844
"Female!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",406288
"Female!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",11176
"Female!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",57168
