Label,Value
Total!!Estimate!!Civilian employed population 16 years and over,1847746
Total!!Margin of Error!!Civilian employed population 16 years and over,11944
"Total!!Estimate!!Management, business, science, and arts occupations",713842
"Total!!Margin of Error!!Management, business, science, and arts occupations",10298
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",291933
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",7519
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",200337
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",6587
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",91596
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",4590
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",95019
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",4896
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",48809
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",4135
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",31969
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",2212
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",14241
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",1938
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",202325
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",5935
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",38684
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",2865
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",18027
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",1885
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",116801
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",4976
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",28813
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",2444
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",124565
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",5413
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",79063
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",4316
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",45502
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",2908
Total!!Estimate!!Service occupations,301286
Total!!Margin of Error!!Service occupations,7899
Total!!Estimate!!Service occupations!!Healthcare support occupations,52355
Total!!Margin of Error!!Service occupations!!Healthcare support occupations,3417
Total!!Estimate!!Service occupations!!Protective service occupations,40504
Total!!Margin of Error!!Service occupations!!Protective service occupations,3249
"Total!!Estimate!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",23874
"Total!!Margin of Error!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",2386
Total!!Estimate!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,16630
Total!!Margin of Error!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,2041
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,98776
Total!!Margin of Error!!Service occupations!!Food preparation and serving related occupations,4707
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,60468
Total!!Margin of Error!!Service occupations!!Building and grounds cleaning and maintenance occupations,3538
Total!!Estimate!!Service occupations!!Personal care and service occupations,49183
Total!!Margin of Error!!Service occupations!!Personal care and service occupations,3568
Total!!Estimate!!Sales and office occupations,376150
Total!!Margin of Error!!Sales and office occupations,9171
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,174355
Total!!Margin of Error!!Sales and office occupations!!Sales and related occupations,6246
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,201795
Total!!Margin of Error!!Sales and office occupations!!Office and administrative support occupations,7459
"Total!!Estimate!!Natural resources, construction, and maintenance occupations",198142
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations",6239
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",12776
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",1726
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",105466
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",4750
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",79900
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",4414
"Total!!Estimate!!Production, transportation, and material moving occupations",258326
"Total!!Margin of Error!!Production, transportation, and material moving occupations",6095
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",112382
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Production occupations",4439
"Total!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",69347
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Transportation occupations",3799
"Total!!Estimate!!Production, transportation, and material moving occupations!!Material moving occupations",76597
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Material moving occupations",4030
Male!!Estimate!!Civilian employed population 16 years and over,984774
Male!!Margin of Error!!Civilian employed population 16 years and over,7565
"Male!!Estimate!!Management, business, science, and arts occupations",322433
"Male!!Margin of Error!!Management, business, science, and arts occupations",6624
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",156652
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",5533
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",119016
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",5266
"Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",37636
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",2705
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",70879
"Male!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",3684
"Male!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",34562
