Label,Value
Total!!Estimate!!Civilian employed population 16 years and over,2099913
Total!!Margin of Error!!Civilian employed population 16 years and over,15332
"Total!!Estimate!!Management, business, science, and arts occupations",942805
"Total!!Margin of Error!!Management, business, science, and arts occupations",15029
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",383719
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",11055
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",260537
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",10191
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",123182
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",5677
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",184454
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",7773
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",83532
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",5312
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",68731
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",4290
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",32191
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",2759
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",247576
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",8143
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",45143
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",3506
