Label,Value
Total!!Estimate!!Civilian employed population 16 years and over,2516719
Total!!Margin of Error!!Civilian employed population 16 years and over,19941
"Total!!Estimate!!Management, business, science, and arts occupations",992392
"Total!!Margin of Error!!Management, business, science, and arts occupations",16856
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",424716
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",11680
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",280030
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",8891
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",144686
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",7587
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",141948
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",6671
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",67584
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",4344
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",58076
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",4266
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",16288
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",2498
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",265540
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",8825
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",47165
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",3972
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",25926
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",3034
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",150487
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",6560
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",41962
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",3727
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",160188
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",8651
