Label,Value
Total!!Estimate!!Civilian employed population 16 years and over,345752
Total!!Margin of Error!!Civilian employed population 16 years and over,5298
"Total!!Estimate!!Management, business, science, and arts occupations",163418
"Total!!Margin of Error!!Management, business, science, and arts occupations",5528
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations",66514
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations",4111
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",46753
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",3536
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",19761
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",2478
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",23945
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",2394
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",10636
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",1705
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",7890
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",1336
"Total!!Estimate!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",5419
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",1096
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",48857
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",3798
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",10214
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social services occupations",1542
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",2436
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",616
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",26639
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations",2864
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",9568
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations",1596
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",24102
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",2351
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",17403
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health diagnosing and treating practitioners and other technical occupations",2106
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",6699
"Total!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians",1138
Total!!Estimate!!Service occupations,51971
Total!!Margin of Error!!Service occupations,4014
Total!!Estimate!!Service occupations!!Healthcare support occupations,10390
Total!!Margin of Error!!Service occupations!!Healthcare support occupations,1516
Total!!Estimate!!Service occupations!!Protective service occupations,4771
Total!!Margin of Error!!Service occupations!!Protective service occupations,1183
"Total!!Estimate!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",2406
"Total!!Margin of Error!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors",830
Total!!Estimate!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,2365
Total!!Margin of Error!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors,853
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,17638
Total!!Margin of Error!!Service occupations!!Food preparation and serving related occupations,2574
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,10438
Total!!Margin of Error!!Service occupations!!Building and grounds cleaning and maintenance occupations,1804
Total!!Estimate!!Service occupations!!Personal care and service occupations,8734
Total!!Margin of Error!!Service occupations!!Personal care and service occupations,1535
Total!!Estimate!!Sales and office occupations,59819
Total!!Margin of Error!!Sales and office occupations,3627
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,26594
Total!!Margin of Error!!Sales and office occupations!!Sales and related occupations,2621
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,33225
Total!!Margin of Error!!Sales and office occupations!!Office and administrative support occupations,2629
"Total!!Estimate!!Natural resources, construction, and maintenance occupations",33313
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations",2762
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",3124
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations",829
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",21305
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",2426
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",8884
"Total!!Margin of Error!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations",1259
"Total!!Estimate!!Production, transportation, and material moving occupations",37231
"Total!!Margin of Error!!Production, transportation, and material moving occupations",2977
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",18324
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Production occupations",1931
"Total!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",9991
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Transportation occupations",1557
"Total!!Estimate!!Production, transportation, and material moving occupations!!Material moving occupations",8916
"Total!!Margin of Error!!Production, transportation, and material moving occupations!!Material moving occupations",1747
Male!!Estimate!!Civilian employed population 16 years and over,176798
Male!!Margin of Error!!Civilian employed population 16 years and over,3930
"Male!!Estimate!!Management, business, science, and arts occupations",73593
